Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Finance,2 bidders HARISH CHANDRA RAY L2 and SUMANTA DALEI L1 have participated. Hence SUMANTA DALEI can be accepted as 1st lowest bidder.,Sanjaya Kumar Sena,20-Dec-2025 12:37 PM,,BOQ Comparative Chart,1,3296802,HARISH CHANDRA RAY,15-Dec-2025 10:01 AM,Rejected-Finance,L2,07-Apr-2026 03:24 PM,1.0,3296760.0,SUMANTA DALEI,INR,"169,492.28",Municipal Bodies||Soro Municipality,2025_ORULB_122362_61,SOROM_06_2025-26,Construction of Road from Murali chandra Sethi House to Gaurahari Sethi House in Ward No.- 15,07-Apr-2026,"INR 169,492.28",90.0,Biswo Ranjan Pradhan,07-Apr-2026 03:26 PM,W61.pdf (636.00 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,06-Apr-2026 01:48 PM,techsummary_569081.pdf (722.49 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,07-Apr-2026 03:24 PM,finsummary_569081.pdf (636.39 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Registration Certificate, PAN Card, PAN Card, Affidavits and as per DTCN","1,695",Yes,fixed,,Nil,Nil,05-Dec-2025 10:00 AM,16-Dec-2025 10:00 AM,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,NA ,NA ,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,Municipal Bodies||Soro Municipality,SOROM_06_2025-26,2025_ORULB_122362_61,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Road from Murali chandra Sethi House to Gaurahari Sethi House in Ward No.- 15,Construction work,Please refer to the tender document. ,NA ,"1,69,492",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,1,ICICI BANK,"2,000",0.0,Nil,Nil,No,"Executive Officer, soro Municipality","Executive Officer, soro Municipality",AOC
,,,,,,2,3296760,SUMANTA DALEI,15-Dec-2025 06:55 AM,Accepted-AOC,Work order,07-Apr-2026 03:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,AOC
