Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
COLLECOTR BARGARH,Internal,ADM BARGARH DLO BARGARH RTO BARGARH DSWO BARGARH CCSO BARGARH,BIBHU PRASANNA ACHARYA,13-Aug-2025 04:36 PM,14-Aug-2025 10:30 AM,techsummary_547364.pdf (2640.61 KB),Finance,FIANANCIAL BID PROCEEDING,BIBHU PRASANNA ACHARYA,23-Apr-2026 06:00 PM,finance_547364.pdf,BOQ Comparative Chart,1.0,3013082.0,ANAND KUMAR SHARMA,30-Jul-2025 11:13 AM,Rejected-Finance,2ND LOWEST BIDDER,23-Apr-2026 06:36 PM,23-Apr-2026,INR 61.16,630.0,BIBHU PRASANNA ACHARYA,23-Apr-2026 06:48 PM,AMBABHONA.pdf (784.00 KB),BHAGAT KUMAR SHARMA SELECTED AS LEVEL - II TRANSPORT CONTRACTOR OF AMBABHONA BLOCK,1.0,3013060.0,BHAGAT KUMAR SHARMA,INR,61.16,Technical,PROCEEDING OF DLTC MEETING FOR EVALUATION OF TECHNICAL BID OF LEVEL II TENDERES FOR BIENNIAL YEAR 2025-27,BIBHU PRASANNA ACHARYA,13-Aug-2025 03:15 PM,technical_547364.pdf,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Baragarh,2025_OSCSC_116078_1,3166/24.07.2025,SELECTION OF LEVEL II TRANSPORT CONTRACTOR FOR THE BIENNIAL YEAR 2025-27 IN AMBABHONA BLOCK UNDER BARGARH DISTRICT,COLLECTOR BARGARH,Internal,ADM BARGARH DSWO BARGARH DLO BARGARH RTO BARGARH CCSO BARGARH,BIBHU PRASANNA ACHARYA,23-Apr-2026 06:36 PM,finsummary_547364.pdf (3559.92 KB),AOC,"1,00,000",No,fixed,,Nil,Nil,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Baragarh,3166/24.07.2025,2025_OSCSC_116078_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,25-Jul-2025 09:00 AM,01-Aug-2025 10:00 AM,25-Jul-2025 09:00 AM,31-Jul-2025 03:00 PM,NA ,NA ,25-Jul-2025 09:00 AM,31-Jul-2025 03:00 PM,14-Aug-2025 10:30 AM,SELECTION OF LEVEL II TRANSPORT CONTRACTOR FOR THE BIENNIAL YEAR 2025-27 IN AMBABHONA BLOCK UNDER BARGARH DISTRICT,TRANSPORATION OFFOOD GRAINS FROM RRC-cum-DSCS TO FPS POINTS,PLEASE REFER TO DTCN  ,NA ,"16,23,805",Handling and Transportation,NA ,Tender,180.0,630.0,APPENDIX I,768028.0,"O/O CCSO_CUM_DIST. MANAGER, OSCSC, LTD., BARGARH ","O/O CCSO_CUM_DIST. MANAGER, OSCSC, LTD., BARGARH  ",25-Jul-2025 11:00 AM ,CONFERENCE HALL OF COLLECTORATE BARGARH,No ,No,"CCSO_CUM_DIST. MANAGER, OSCSC, LTD., BARGARH","O/O CCSO_CUM_DIST. MANAGER, OSCSC, LTD., BARGARH","5,900",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,2.0,3013060.0,BHAGAT KUMAR SHARMA,30-Jul-2025 01:50 PM,Accepted-AOC,LOWEST BIDDER,23-Apr-2026 06:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
