S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
1.0,3219098.0,Sashi Kumar Agrawal,INR,"532,511",Finance,tender opened,Rehan Khatri,17-Nov-2025 03:35 PM,finance_561348.pdf,BOQ Comparative Chart,"Siddheshwar Baliram Bondar,IAS",Internal,"JE/AE/AEE/EE/AO/DC/COMMISSIONER,SMC",Rehan Khatri,23-Apr-2026 09:11 AM,finsummary_561348.pdf (633.45 KB),Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_119915_5,18/SMC_SBP/2025-26,Construction of Paver Block road from Arakhita house to Rina Sahu house road near Kessarpada Ward No-07,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,20-Apr-2026 12:03 PM,techsummary_561348.pdf (633.45 KB),23-Apr-2026,"INR 532,511",60.0,Rehan Khatri,23-Apr-2026 10:55 AM,18smc5.pdf (633.00 KB),SUCCESSFUL,1,3217551,B MAHESH RAO,12-Nov-2025 03:08 PM,Rejected-Technical,UNSUCCESSFUL,20-Apr-2026 12:03 PM,AOC,Municipal Bodies||Sambalpur Municipal Corporation,18/SMC_SBP/2025-26,2025_ORULB_119915_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN","5,325",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,Construction of Paver Block road from Arakhita house to Rina Sahu house road near Kessarpada Ward No-07,Construction of Paver Block road from Arakhita house to Rina Sahu house road near Kessarpada Ward No-07,Please refer Tender documents. ,NA ,"5,32,511",Civil Works - Others,NA ,Tender,120.0,60.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,04-Nov-2025 11:00 AM,14-Nov-2025 11:00 AM,04-Nov-2025 11:00 AM,13-Nov-2025 05:00 PM,NA ,NA ,04-Nov-2025 11:00 AM,13-Nov-2025 05:00 PM,"COMMISSIONER, SMC","SAMBALPUR MUNICIPAL CORPORATION, DURGAPALI, SAMBALPUR, 768006",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3211260,KOUSHAL PRASAD,11-Nov-2025 10:22 AM,Rejected-Technical,UNSUCCESSFUL,20-Apr-2026 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3213049,Lenu Parida,11-Nov-2025 02:20 PM,Rejected-Technical,UNSUCCESSFUL,20-Apr-2026 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3217502,MOHAMMED ALI HUSSAIN,12-Nov-2025 11:38 PM,Rejected-Technical,UNSUCCESSFUL,20-Apr-2026 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3215984,M/s Jasbinder Singh Koura,12-Nov-2025 09:16 AM,Rejected-Technical,UNSUCCESSFUL,20-Apr-2026 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3216034,M/S PRAKASH CHANDRA NAYAK,12-Nov-2025 10:05 AM,Rejected-Technical,UNSUCCESSFUL,20-Apr-2026 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3216117,M/S RADHAKRUSHNA PANIGRAHI,12-Nov-2025 10:23 AM,Rejected-Technical,UNSUCCESSFUL,20-Apr-2026 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3219098,Sashi Kumar Agrawal,12-Nov-2025 08:26 PM,Accepted-AOC,SUCCESSFUL,23-Apr-2026 10:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3220088,S.P. INFRA,13-Nov-2025 12:03 PM,Rejected-Technical,UNSUCCESSFUL,20-Apr-2026 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3214369,SURENDRA GARDIA,13-Nov-2025 12:26 AM,Rejected-Technical,UNSUCCESSFUL,20-Apr-2026 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
