S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,"87,546",Yes,fixed,,Nil,Nil,"Renovation of 10000 MT Godown at SWC, Malmunda (GD 2,3)","Renovation of 10000 MT Godown at SWC, Malmunda (GD 2, 3)",Please refer Tender documents. ,NA ,"87,54,586",Civil Works - Others,NA ,Tender,90.0,180.0,Malmunda,751006.0,NA ,NA ,NA ,O/o the Odisha State WareHousing Corporation,No ,No,Odisha State Warehousing Corporation,4460/OSWC/Civil/20/2025-26 dt.04.12.2025,2025_OSWC_122789_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Managing Director, OSWC","O/o the Odisha State Warehousing Corporation, Cuttack Road, Bhubaneswar",1.0,Fee/PreQual/Technical,.pdf,"Tender paper Cost, Bid Security Declaration, PAN, GSTIN, Affidavits and Other documents as per DTCN",08-Dec-2025 05:15 PM,24-Dec-2025 03:00 PM,08-Dec-2025 05:15 PM,23-Dec-2025 05:00 PM,NA ,NA ,08-Dec-2025 05:15 PM,23-Dec-2025 05:00 PM,21-Feb-2026 12:15 PM,"11,800",Nil,Nil,No,AOC,FAANDCAO,Internal,"SECRETARY, CGM, AE",Smitanjali Swain,16-Apr-2026 05:29 PM,finsummary_570343.pdf (2046.04 KB),17-Apr-2026,"INR 7,442,274",180.0,Smitanjali Swain,16-Apr-2026 05:49 PM,20DAOC.pdf (1260.00 KB),"RENOVATION OF 10000 MT GODOWN AT SWC MALMUNDA GD-2,3",Finance,OPENING,Bedabandhu Mallick,21-Feb-2026 12:41 PM,,BOQ Comparative Chart,Technical,Opening,Pradeep Kumar Panda,26-Dec-2025 11:41 AM,,1,3324403,Ashish Kumar Behera,23-Dec-2025 01:30 PM,Rejected-Technical,Disqualified,21-Feb-2026 12:07 PM,1.0,3324785.0,HEMANTA KUMAR BEHERA,INR,"7,442,274",Odisha State Warehousing Corporation,2025_OSWC_122789_8,4460/OSWC/Civil/20/2025-26 dt.04.12.2025,"Renovation of 10000 MT Godown at SWC, Malmunda (GD 2,3)",FA and CAO,Internal,,Pradeep Kumar Panda,21-Feb-2026 12:07 PM,21-Feb-2026 12:15 PM,techsummary_570343.pdf (6040.33 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3309348,Gupteswar Behera,19-Dec-2025 07:20 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:50 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3324785,HEMANTA KUMAR BEHERA,23-Dec-2025 04:20 PM,Accepted-AOC,SELECTED IN LOTTERY,16-Apr-2026 05:50 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3323982,JYOTIRMAY PATRA,23-Dec-2025 12:42 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:50 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3323414,MANAS RANJAN MOHANTY,22-Dec-2025 05:34 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:50 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3322484,M/s. STANGLOBE INFRATECH. Prop. JYOTIRMAYEE ROUTRAY,22-Dec-2025 01:58 PM,Rejected-Technical,Disqualified,21-Feb-2026 12:07 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3323996,NAIMISH KUMAR PADHAN,23-Dec-2025 09:58 AM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:50 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3323261,PRAGATI MARTHA,22-Dec-2025 05:19 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:50 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3320161,SAGAR PRADHAN,21-Dec-2025 09:29 AM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:50 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3324420,SHASHIRAM MANGARAJ,23-Dec-2025 02:37 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:50 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,11,3299955,SS TRADERS AND CONSTRUCTION,23-Dec-2025 02:28 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:50 PM,,,,,,,,,,,,,,,,,AOC
