Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,5 bidders have participated and all have quoted the same price.,Sanjaya Kumar Sena,22-Dec-2025 02:00 PM,,BOQ Comparative Chart,Municipal Bodies||Soro Municipality,2025_ORULB_122362_66,SOROM_06_2025-26,Construction of Paver Road from Makareswar Temple towards Narendra Barik house Near Teliagang MSG in W.No-16,1.0,3301527.0,JAJATIKESHARI PRADHAN,INR,"324,191.07",1,3300133,Gouraranjan Das,13-Dec-2025 07:03 PM,Rejected-Finance,L1,07-Apr-2026 04:42 PM,07-Apr-2026,"INR 324,191.07",90.0,Biswo Ranjan Pradhan,07-Apr-2026 04:45 PM,W66.pdf (710.00 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,06-Apr-2026 02:02 PM,techsummary_569093.pdf (1234.86 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,07-Apr-2026 04:42 PM,finsummary_569093.pdf (1234.86 KB),AOC,Construction of Paver Road from Makareswar Temple towards Narendra Barik house Near Teliagang MSG in W.No-16,Construction work,Please refer to the tender document. ,NA ,"3,81,356",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,"Executive Officer, soro Municipality","Executive Officer, soro Municipality","2,000",0.0,Nil,Nil,No,Municipal Bodies||Soro Municipality,SOROM_06_2025-26,2025_ORULB_122362_66,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"3,813",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Registration Certificate, PAN Card, PAN Card, Affidavits and as per DTCN",1.0,ICICI BANK,05-Dec-2025 10:00 AM,16-Dec-2025 10:00 AM,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,NA ,NA ,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,3301527,JAJATIKESHARI PRADHAN,14-Dec-2025 05:24 PM,Accepted-AOC,Work order,07-Apr-2026 04:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3300698,MANARANJAN PRADHAN,14-Dec-2025 09:28 AM,Rejected-Finance,L1,07-Apr-2026 04:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3299949,RASA SEKHAR MOHANTY,13-Dec-2025 05:31 PM,Rejected-Finance,L1,07-Apr-2026 04:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3300812,SANTOSH PARIDA,14-Dec-2025 11:37 AM,Rejected-Finance,L1,07-Apr-2026 04:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
