Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Brajrajnagar Municipality,BRJNRM -04/2025-26,2026_ORULB_124354_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,Construction of Paver Road at Agresan Gali at Ward No.9.,Paver Road,Please refer Tender documents ,NA ,"5,00,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Brajrajnagar Municipality,768216.0,NA ,NA ,NA ,Brajrajnagar Municipality,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Contractor License,PAN, GST, and other relevant documents of this DTCN",Executive Officer Brajrajnagar Municipality,Brajrajnagar Municipality At-Lamtibahal PO-Brajrajnagar Dist-Jharsuguda,09-Jan-2026 05:00 PM,21-Jan-2026 11:00 AM,09-Jan-2026 05:00 PM,20-Jan-2026 05:00 PM,NA ,NA ,09-Jan-2026 05:00 PM,20-Jan-2026 05:00 PM,10-Feb-2026 11:00 AM,"5,000",Yes,fixed,,Nil,Nil,AOC,1.0,3358381.0,AMIT CONSTRUCTION,17-Jan-2026 05:16 PM,Rejected-AOC,Rejected,20-Apr-2026 12:17 PM,20-Apr-2026,"INR 422,789.99",60.0,Chandramani Swain,20-Apr-2026 12:17 PM,5.pdf (236.00 KB),"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Junior Engineer, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,09-Feb-2026 04:54 PM,10-Feb-2026 11:00 AM,techsummary_575015.pdf (249.45 KB),Finance,ok,Chandramani Swain,10-Feb-2026 01:12 PM,finance_575015.pdf,BOQ Comparative Chart,Municipal Bodies||Brajrajnagar Municipality,2026_ORULB_124354_5,BRJNRM -04/2025-26,Construction of Paver Road at Agresan Gali at Ward No.9.,Technical,ok,Chandramani Swain,09-Feb-2026 12:29 PM,technical_575015.pdf,"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Asst. Engineer, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,20-Apr-2026 12:08 PM,finsummary_575015.pdf (235.53 KB),1.0,3358048.0,M/S RAKESH KUMAR RUNGTA,INR,"422,789.99",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavits and T.P., E.M.D. copy",,,,,,,,,,,,,,,,,,AOC,2.0,3358048.0,M/S RAKESH KUMAR RUNGTA,17-Jan-2026 11:44 AM,Accepted-AOC,Accepted,20-Apr-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bills of Quantity,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
