Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"EXECUTIVE OFFICER, JAGATSINGHPUR MUNICIPALITY","Jagatsinghpur Municipality, Jagatsinghpur",1.0,ICICI BANK,Municipal Bodies||Jagatsinghpur Municipality,EO/ JSPURM/W-02/2025-26,2025_ORULB_121600_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Completion of Balance work of Vending zone at Panisalia in Ward No.16,Completion of Balance work of Vending zone at Panisalia in Ward No.16,Please refer Tender documents. ,NA ,"9,57,472",Civil Works - Others,NA ,Tender,60.0,60.0,Completion of Balance work of Vending zone at Pani,754103.0,NA ,NA ,NA ,JAGATSINGHPUR MUNICIPALITY,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST,AFFIDAVIT,LICENSE,AGGREMENT AND OTHER DOC AS PER DTCN","4,720",0.0,Nil,Nil,No,1.0,Corrigendum-Works,Date,,"9,600",Yes,fixed,,Nil,Nil,21-Nov-2025 11:00 AM,15-Dec-2025 11:00 AM,21-Nov-2025 11:00 AM,12-Dec-2025 05:00 PM,NA ,NA ,21-Nov-2025 11:00 AM,12-Dec-2025 05:00 PM,AOC,1,3297899,ASHIS KUMAR GOCHHAYAT,12-Dec-2025 03:58 PM,Accepted-AOC,ACCEPTED,07-Apr-2026 04:27 PM,07-Apr-2026,"INR 967,046",60.0,Manas Ranjan Pal,07-Apr-2026 04:27 PM,E89297AOC.pdf (924.00 KB),CHAIRPERSON,Internal,ADDITIONAL TRESURY OFFICER EXECUTIVE OFFICER MUNICIPAL ENGINEER,Manas Ranjan Pal,07-Apr-2026 04:09 PM,techsummary_565669.pdf (1613.17 KB),CHAIRPERSON,Internal,ADDITIONAL TRESURY OFFICER EXECUTIVE OFFICER MUNICIPAL ENGINEER,Manas Ranjan Pal,07-Apr-2026 04:21 PM,finsummary_565669.pdf (1736.58 KB),Municipal Bodies||Jagatsinghpur Municipality,2025_ORULB_121600_9,EO/ JSPURM/W-02/2025-26,Completion of Balance work of Vending zone at Panisalia in Ward No.16,1.0,3297899.0,ASHIS KUMAR GOCHHAYAT,INR,"967,046",Finance,All Bidders are qualified in the Technical Evaluation.,Manas Ranjan Pal,27-Feb-2026 01:20 PM,finance_565669.pdf,BOQ Comparative Chart,AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3297353,DASARATHI SWAIN,12-Dec-2025 02:02 PM,Rejected-Finance,REJECTED,07-Apr-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3297908,GOLEKHA CHANDRA BARIK,12-Dec-2025 03:12 PM,Rejected-Finance,REJECTED,07-Apr-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3295429,GOURA HARI MOHARANA,11-Dec-2025 02:28 PM,Rejected-AOC,REJECTED,07-Apr-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3296875,KAILASH CHANDRA PANDA,12-Dec-2025 01:40 PM,Rejected-Finance,REJECTED,07-Apr-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3297325,MANAS RANJAN NAYAK,12-Dec-2025 12:59 PM,Rejected-Finance,REJECTED,07-Apr-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3294497,MANOJ SINGH,11-Dec-2025 04:26 PM,Rejected-Finance,REJECTED,07-Apr-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3294751,M/S. NIMAIN CHARAN BARIK,12-Dec-2025 03:37 PM,Rejected-Finance,REJECTED,07-Apr-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3292553,PRADEEP KUMAR DAS,09-Dec-2025 10:59 PM,Rejected-Finance,REJECTED,07-Apr-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3295492,PRASANA KUMAR SWAIN,11-Dec-2025 06:33 PM,Rejected-Finance,REJECTED,07-Apr-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
