Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Executive Engineer,Internal,"EE,DAO,EE ESTIMATOR,AE ESTIMATOR",Kumarmani Kishan,30-Apr-2026 01:03 PM,techsummary_578763.pdf (192.45 KB),30-Apr-2026,"INR 2,932,637",45.0,Kumarmani Kishan,30-Apr-2026 01:15 PM,pastamunda.pdf (312.00 KB),1,3398731,GHUNGROO AGRAWAL,16-Feb-2026 02:29 PM,Rejected-Finance,L2,30-Apr-2026 01:09 PM,1.0,3397421.0,RAJ KUMAR PANDA,INR,"2,932,637",Finance,OK,Sunanda Kisan,17-Feb-2026 01:51 PM,,BOQ Comparative Chart,Executive Engineer,Internal,"EE,DAO,EE ESTIMATOR,AE ESTIMATOR",Kumarmani Kishan,30-Apr-2026 01:09 PM,finsummary_578763.pdf (192.45 KB),CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-BARGARH,2026_CERWI_125373_3,Online-BGH-23 of 2025-26,NH-6 to Pastamunda,AOC,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-BARGARH,Online-BGH-23 of 2025-26,2026_CERWI_125373_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN Card, Valid GSTIN, Affidavit, No Relation Certificate As per DTCN.",09-Feb-2026 06:00 PM,17-Feb-2026 11:00 AM,09-Feb-2026 06:00 PM,16-Feb-2026 05:00 PM,09-Feb-2026 06:00 PM ,16-Feb-2026 04:00 PM ,09-Feb-2026 06:00 PM,16-Feb-2026 05:00 PM,"29,623",Yes,percentage,1.0%,Nil,Nil,Executive Engineer,"EXECUTIVE ENGINEER RURAL WORKS DIVISION, BARAGARH",NH-6 to Pastamunda,Road Works,Please refer Tender documents. ,NA ,"29,62,260",Civil Works - Roads,NA ,Tender,90.0,45.0,Bargarh,768028.0,NA ,NA ,NA ,"EXECUTIVE ENGINEER RURAL WORKS DIVISION, BARAGARH",No ,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,2,3398858,RAJESH KUMAR MAHANA,16-Feb-2026 02:55 PM,Rejected-Finance,L3,30-Apr-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,3,3397421,RAJ KUMAR PANDA,16-Feb-2026 08:31 AM,Accepted-AOC,L1,30-Apr-2026 01:15 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,3398597,Sudhansu Mohan Padhan,16-Feb-2026 02:02 PM,Rejected-Finance,L4,30-Apr-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
