Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
25-Feb-2026,"INR 2,619,970",60.0,Debarsi Naik,29-Apr-2026 01:45 PM,img060.pdf (537.00 KB),AOC,1.0,3378830.0,MILAN KUMAR PATEL,INR,"2,619,970",CE RW I||RWCIRCLE-SAMBALPUR||RW Division Kuchinda,2026_CERWI_125248_10,Online Tender-15 RWD Kuchinda 2025-26,S/R to Road From NH-6 to Chemunda in the District of Sambalpur for the year 2025-26,1,3382237,BHESAJA KUMAR PATTA,05-Feb-2026 03:47 PM,Rejected-AOC,Reject,29-Apr-2026 01:45 PM,Finance,Bid opened,Debarsi Naik,06-Feb-2026 09:03 PM,finance_578443.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"Divisional Accounts Officer, JE Estimator",Debarsi Naik,25-Feb-2026 01:18 PM,finsummary_578443.pdf (327.40 KB),Superintending Engineer,Internal,"Divisional Accounts Officer, JE Estimator",Debarsi Naik,24-Feb-2026 07:37 PM,techsummary_578443.pdf (536.06 KB),AOC,Superintending Engineer,"O/o The Superintending Engineer Rural Works Division, Kuchinda",S/R to Road From NH-6 to Chemunda in the District of Sambalpur for the year 2025-26,S/R to Road From NH-6 to Chhemunda in the District of Sambalpur for the year 2025-26,Please refer Tender documents. ,NA ,"35,89,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Kuchinda,768222.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, KUCHINDA",No ,No,"6,000",0.0,Nil,Nil,No,"35,890",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Affidavit, Tender Paper Cost, EMD etc as per DTCN.",31-Jan-2026 09:00 AM,06-Feb-2026 11:00 AM,31-Jan-2026 09:00 AM,05-Feb-2026 05:00 PM,31-Jan-2026 09:00 AM ,04-Feb-2026 05:00 PM ,31-Jan-2026 09:00 AM,05-Feb-2026 05:00 PM,1.0,ICICI BANK,CE RW I||RWCIRCLE-SAMBALPUR||RW Division Kuchinda,Online Tender-15 RWD Kuchinda 2025-26,2026_CERWI_125248_10,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,3380230,GURSIMRAN SALUJA,04-Feb-2026 03:15 PM,Rejected-AOC,Reject,29-Apr-2026 01:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3378830,MILAN KUMAR PATEL,03-Feb-2026 01:18 PM,Accepted-AOC,Accepted through Transparent Lottery System,29-Apr-2026 01:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3381478,MOHAN KUMAR AGRAWAL,05-Feb-2026 11:27 AM,Rejected-AOC,Reject,29-Apr-2026 01:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3380023,TAPESWAR NAIK,05-Feb-2026 01:27 PM,Rejected-AOC,Reject,29-Apr-2026 01:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
