S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3371134.0,CHANDRA SEKHAR SAHOO,INR,"2,584,330",Finance,Two bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Sanjukta Sa,09-Feb-2026 12:19 PM,finance_577159.pdf,BOQ Comparative Chart,Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,08-Apr-2026 12:08 PM,finsummary_577159.pdf (74.85 KB),Municipal Bodies||Cuttack Municipal Corporation,2026_ORULB_124261_6,CMC)CTC_Div-IIINo.34/25-26,Construction of drain from HDFC bank to MSWC II Via Nayabazar chhack in ward no.43.,Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,08-Apr-2026 11:39 AM,techsummary_577159.pdf (74.85 KB),1,3371134,CHANDRA SEKHAR SAHOO,28-Jan-2026 08:21 PM,Accepted-AOC,Accepted,08-Apr-2026 12:23 PM,08-Apr-2026,"INR 2,584,330",90.0,Sanjukta Sa,08-Apr-2026 12:23 PM,5422.pdf (902.00 KB),wo,AOC,1.0,Corrigendum Notice,Other,,Municipal Bodies||Cuttack Municipal Corporation,CMC)CTC_Div-IIINo.34/25-26,2026_ORULB_124261_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of drain from HDFC bank to MSWC II Via Nayabazar chhack in ward no.43.,Construction of drain from HDFC bank to MSWC II Via Nayabazar chhack in ward no.43.,Please refer Tender documents. ,NA ,"25,84,330",Civil Works - Others,NA ,Tender,105.0,90.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,1,ICICI BANK,"Executive Engineer, CD-III","Bikash Bhawan,Jagannath Lane,Badambadi-753012",22-Jan-2026 11:00 AM,09-Feb-2026 10:00 AM,22-Jan-2026 11:00 AM,05-Feb-2026 05:00 PM,NA ,NA ,22-Jan-2026 11:00 AM,05-Feb-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.","25,900",Yes,fixed,,Nil,Nil,"7,080",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3373811,PRASANTA KUMAR BEHERA,30-Jan-2026 12:43 PM,Rejected-AOC,Rejected,08-Apr-2026 12:23 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,AOC
