Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
18-Apr-2026,"INR 540,554",120.0,Ranjan Kumar Das,18-Apr-2026 03:34 PM,AOC.pdf (143.00 KB),1.0,3185761.0,JAGANNATHA DAS,INR,"540,554",Municipal Bodies||Pattamundai Municipality,2025_ORULB_120037_17,PM_02/2025-26,Construction of Road from C.C. Road to Babuli Sahoo house and Bharat Bhadra house in Ward No-5,1,3217905,ABHAYA KUMAR DAS,12-Nov-2025 03:53 PM,Rejected-AOC,L16,18-Apr-2026 03:34 PM,Finance,19 nos of bids are received against this work,Ranjan Kumar Das,17-Nov-2025 01:22 PM,,BOQ Comparative Chart,HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,18-Apr-2026 03:28 PM,finsummary_560037.pdf (198.48 KB),HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,18-Apr-2026 03:22 PM,techsummary_560037.pdf (112.17 KB),AOC,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Pattamundai Municipality,PM_02/2025-26,2025_ORULB_120037_17,Yes,Open Limited,Percentage,Works,1.0,No,No,Online,No,No,No,"5,389",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Document as per DTCN,1.0,ICICI BANK,Executive Officer,Pattamundai Municipality,31-Oct-2025 06:00 PM,15-Nov-2025 11:00 AM,31-Oct-2025 06:00 PM,13-Nov-2025 05:00 PM,31-Oct-2025 06:00 PM ,12-Nov-2025 05:00 PM ,31-Oct-2025 06:00 PM,13-Nov-2025 05:00 PM,Construction of Road from C.C. Road to Babuli Sahoo house and Bharat Bhadra house in Ward No-5,Construction of Road from C.C. Road to Babuli Sahoo house and Bharat Bhadra house in Ward No-5,Please refer Tender documents. ,NA ,"5,38,874",Civil Works - Others,NA ,Tender,90.0,120.0,Pattamundai,754215.0,NA ,NA ,NA ,"Office of the Executive Officer, Pattamundai",No ,No,AOC
,,,,,,,,,,,,,,,2,3219743,AKASH MALIK,13-Nov-2025 12:56 PM,Rejected-AOC,L17,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bills of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3196647,ASHOK KUMAR MALLICK,08-Nov-2025 12:04 PM,Rejected-AOC,L8,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3197330,BALADEV PRADHAN,08-Nov-2025 01:35 PM,Rejected-AOC,L10,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3202318,BISWA BHUSAN SAMAL,11-Nov-2025 08:52 PM,Rejected-AOC,L12,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3186525,DILLIP KUMAR BARIK,05-Nov-2025 10:16 PM,Rejected-AOC,L5,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3185761,JAGANNATHA DAS,05-Nov-2025 07:25 PM,Accepted-AOC,The Bidder was selected as L1 Bidder Through Lottery Process,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3191673,JAYALAXMI NATH,06-Nov-2025 11:36 PM,Rejected-AOC,L6,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3186213,JYOTSHNAMAYEE MOHAPATRA,05-Nov-2025 08:48 PM,Rejected-AOC,L4,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3197098,KRUSHNA CHANDRA PUHAN,08-Nov-2025 01:02 PM,Rejected-AOC,L9,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3211272,Mr.Paresh Chandra Jena,11-Nov-2025 10:21 AM,Rejected-AOC,L13,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3176104,NAMITA JYOSHNA NAYAK,03-Nov-2025 02:18 PM,Rejected-AOC,L3,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3179010,PRADEEP BEHERA,03-Nov-2025 09:49 PM,Rejected-Technical,The Bidder is Disqualified as per Clause No-67 of DTCN No-3647 dtd.02/11/2025,18-Apr-2026 03:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,3214490,RUPADARSHI PRADHAN,11-Nov-2025 06:03 PM,Rejected-AOC,L14,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,3187350,SRIKANTA SWAIN,07-Nov-2025 09:45 AM,Rejected-Technical,The Bidder is Disqualified Because the Bidder Was Submitted Invalid Appendix-A,18-Apr-2026 03:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,16,3216670,SUBODHA KUMAR MALLICK (S.C),12-Nov-2025 02:47 PM,Rejected-AOC,L15,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,17,3186503,Surya Narayan Ojha,05-Nov-2025 09:17 PM,Rejected-AOC,L2,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,18,3196378,SUSHREE SUSMITA MALIK,08-Nov-2025 11:01 AM,Rejected-AOC,L7,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,19,3197715,UDAYA NATH BEHURA,08-Nov-2025 04:17 PM,Rejected-AOC,L11,18-Apr-2026 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
