S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3381309.0,ANITA AGRAWAL,INR,"423,596",Finance,33 Nos bid opened,Manik Kumbhar,10-Feb-2026 11:36 AM,finance_577576.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Executive Engineer,DAO,EST",Bebisuta Sahu,29-Apr-2026 01:13 PM,finsummary_577576.pdf (1308.07 KB),CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2026_CERWI_125023_7,EEPTNG-online-18/2025-26,Special Repair of Section office at Belpada for the year 2025-26,Executive Engineer,Internal,"Executive Engineer,DAO,EST",Bebisuta Sahu,29-Apr-2026 12:56 PM,techsummary_577576.pdf (1308.07 KB),1,3380688,AKASH KUMAR JAIN,04-Feb-2026 02:29 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,29-Apr-2026,"INR 423,596",30.0,Bebisuta Sahu,29-Apr-2026 01:22 PM,2.pdf (417.00 KB),AOC,"2,000",0.0,Nil,Nil,No,"4,240",Yes,fixed,,Nil,Nil,23-Jan-2026 05:00 PM,06-Feb-2026 11:00 AM,23-Jan-2026 05:00 PM,05-Feb-2026 05:00 PM,23-Jan-2026 05:00 PM ,04-Feb-2026 05:00 PM ,23-Jan-2026 05:00 PM,05-Feb-2026 05:00 PM,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-18/2025-26,2026_CERWI_125023_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"DD, EMD, R.C, PAN, GSTIN, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN","Executive Engineer, R.W.Division,Patnagarh","O/o the Superintending Engineer, R.W.D, Patnagarh",1.0,ICICI BANK,Special Repair of Section office at Belpada for the year 2025-26,Special Repair of Section office at Belpada for the year 2025-26,Please refer Tender documents. ,NA ,"4,24,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Superintending Engineer, R.W.D, Patnagarh",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3377287,ANANTA KUMAR PANIGRAHI,02-Feb-2026 03:42 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3381309,ANITA AGRAWAL,05-Feb-2026 10:15 AM,Accepted-AOC,SUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:22 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3377451,ARAKSHITA SAHU,02-Feb-2026 04:50 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3376442,ASHOK KUMAR PANDEY,02-Feb-2026 09:10 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3379678,BIBEK KUMAR AGRAWALA,04-Feb-2026 06:25 AM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3380978,BIRENDRA SETH,04-Feb-2026 06:04 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3376588,DHANANJAYA PADHAN,05-Feb-2026 01:00 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3378369,DILLIP KUMAR BISWAL,03-Feb-2026 12:00 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEMUNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3381796,DOSALIN MISHRA,05-Feb-2026 01:12 PM,Rejected-Finance,UNSUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:13 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
