S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"Construction of Academic Bldg. at Womens Degree College, Kantabanji, Bolangir",Building Work,Please refer Tender documents. ,NA ,"3,76,69,352",Civil Works - Buildings,NA ,Tender,90.0,365.0,Bolangir,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"11,800",0.0,Nil,Nil,No,Orissa State Police Housing and Welfare Corporation Ltd,25/OPHWC/2025-26,2026_OSPHW_124974_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","3,76,700",Yes,fixed,,Nil,Nil,1.0,PLAN AND ELEVATION,Technical Bid,,22-Jan-2026 06:55 PM,12-Feb-2026 10:30 AM,22-Jan-2026 06:55 PM,11-Feb-2026 05:00 PM,NA ,NA ,22-Jan-2026 06:55 PM,11-Feb-2026 05:00 PM,27-Feb-2026 10:30 AM,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,AOC,10-Apr-2026,"INR 37,575,178",365.0,Bikram Keshari Malla,10-Apr-2026 04:30 PM,KANTABANJI.pdf (83.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 07.04.2026,1,3391899,BIJAY KUMAR AGRAWAL,11-Feb-2026 10:53 AM,Rejected-Technical,Non submission of Sch G as per DTCN Cl. 12 and 110(j).,26-Feb-2026 06:08 PM,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,26-Feb-2026 06:08 PM,27-Feb-2026 10:30 AM,techsummary_577405.pdf (338.08 KB),Finance,Financial bid opened,MONALISHA PADHY,27-Feb-2026 10:48 AM,,BOQ Comparative Chart,Technical,4 Nos. of bidders have been participated,MONALISHA PADHY,12-Feb-2026 11:40 AM,,Orissa State Police Housing and Welfare Corporation Ltd,2026_OSPHW_124974_5,25/OPHWC/2025-26,"Construction of Academic Bldg. at Womens Degree College, Kantabanji, Bolangir",AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,10-Apr-2026 04:28 PM,finsummary_577405.pdf (366.90 KB),1.0,3391949.0,SOBIKA AGRAWAL,INR,"37,575,178",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3392265,M/S G R Construction,11-Feb-2026 04:32 PM,Rejected-Technical,Non submission of Sch G as per DTCN Cl. 12 and 110(j).,26-Feb-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3391800,Raghunandan Agrawal,11-Feb-2026 04:09 PM,Rejected-Finance,DUE TO L2 BIDDER,10-Apr-2026 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3391949,SOBIKA AGRAWAL,11-Feb-2026 02:38 PM,Accepted-AOC,QUALIFIED BIDDER,10-Apr-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
