Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Odisha State Warehousing Corporation,4460/OSWC/Civil/20/2025-26 dt.04.12.2025,2025_OSWC_122789_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Renovation of 6000 MT Godown at SWC, Malmunda (GD 4, 5, 6)","Renovation of 6000 MT Godown at SWC, Malmunda (GD 4, 5, 6)",Please refer Tender documents. ,NA ,"70,54,657",Civil Works - Others,NA ,Tender,90.0,180.0,Malmunda,751006.0,NA ,NA ,NA ,O/o the Odisha State WareHousing Corporation,No ,No,08-Dec-2025 04:45 PM,24-Dec-2025 03:00 PM,08-Dec-2025 04:45 PM,23-Dec-2025 05:00 PM,NA ,NA ,08-Dec-2025 04:45 PM,23-Dec-2025 05:00 PM,21-Feb-2026 12:15 PM,"11,800",Nil,Nil,No,"70,547",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender paper Cost, Bid Security Declaration, PAN, GSTIN, Affidavits and Other documents as per DTCN","Managing Director, OSWC","O/o the Odisha State Warehousing Corporation, Cuttack Road, Bhubaneswar",AOC,FA and CAO,Internal,,Pradeep Kumar Panda,21-Feb-2026 12:04 PM,21-Feb-2026 12:15 PM,techsummary_570336.pdf (6040.33 KB),1.0,3324770.0,HEMANTA KUMAR BEHERA,INR,"5,997,164",Odisha State Warehousing Corporation,2025_OSWC_122789_7,4460/OSWC/Civil/20/2025-26 dt.04.12.2025,"Renovation of 6000 MT Godown at SWC, Malmunda (GD 4, 5, 6)",Finance,Opening,Bedabandhu Mallick,21-Feb-2026 12:37 PM,,BOQ Comparative Chart,Technical,Opening,Pradeep Kumar Panda,26-Dec-2025 11:48 AM,,1,3324433,Ashish Kumar Behera,23-Dec-2025 01:38 PM,Rejected-Technical,Disqualified,21-Feb-2026 12:04 PM,17-Apr-2026,"INR 5,997,164",180.0,Smitanjali Swain,16-Apr-2026 05:43 PM,20DAOC.pdf (1260.00 KB),"RENOVATION OF 6000 MT GODOWN AT SWC MALMUNDA GD- 4,5,6",FAANDCAO,Internal,"SECRETARY, CGM, AE",Smitanjali Swain,16-Apr-2026 05:32 PM,finsummary_570336.pdf (2046.04 KB),AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3309341,Gupteswar Behera,19-Dec-2025 07:15 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:43 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3324770,HEMANTA KUMAR BEHERA,23-Dec-2025 04:14 PM,Accepted-AOC,SELECTED IN LOTTERY,16-Apr-2026 05:43 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3323980,JYOTIRMAY PATRA,23-Dec-2025 12:32 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:43 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3323423,MANAS RANJAN MOHANTY,22-Dec-2025 05:45 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:43 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3322445,M/s. STANGLOBE INFRATECH. Prop. JYOTIRMAYEE ROUTRAY,22-Dec-2025 01:50 PM,Rejected-Technical,Disqualified,21-Feb-2026 12:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3324005,NAIMISH KUMAR PADHAN,23-Dec-2025 10:18 AM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:43 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3323259,PRAGATI MARTHA,22-Dec-2025 05:14 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:43 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3320157,SAGAR PRADHAN,21-Dec-2025 09:21 AM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:43 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3324409,SHASHIRAM MANGARAJ,23-Dec-2025 02:27 PM,Rejected-AOC,NOT SELECTED IN LOTTERY,16-Apr-2026 05:43 PM,,,,,,,,,,,,,,AOC
