Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,2 bidders bid the tender,Tusar Kanti Behera,22-Mar-2026 09:58 PM,finance_581619.pdf,BOQ Comparative Chart,1.0,3408328.0,KAPILA CHARAN MALIK,INR,"350,150",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,2026_CERWI_126189_3,16/EE/RWD/AND/2025-26,Periodical Maintenance of NH-215 to Kumunia Road (Pot holes repair and SDBC) from 2/800km to 3/250km for the year 2025-26.,Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,06-Apr-2026 12:42 PM,finsummary_581619.pdf (236.27 KB),Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,22-Mar-2026 10:18 PM,techsummary_581619.pdf (236.28 KB),06-Apr-2026,"INR 350,150",20.0,Tusar Kanti Behera,06-Apr-2026 09:06 PM,AOCKumunia.pdf (233.00 KB),1,3408328,KAPILA CHARAN MALIK,23-Feb-2026 01:50 PM,Accepted-AOC,1st lowest,06-Apr-2026 09:06 PM,AOC,"4,000",0.0,Nil,Nil,No,17-Feb-2026 03:00 PM,24-Feb-2026 11:30 AM,17-Feb-2026 03:00 PM,23-Feb-2026 05:00 PM,17-Feb-2026 03:00 PM ,21-Feb-2026 05:00 PM ,17-Feb-2026 03:00 PM,23-Feb-2026 05:00 PM,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,16/EE/RWD/AND/2025-26,2026_CERWI_126189_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"5,084",Yes,fixed,,Nil,Nil,Periodical Maintenance of NH-215 to Kumunia Road (Pot holes repair and SDBC) from 2/800km to 3/250km for the year 2025-26.,Periodical Maintenance of NH-215 to Kumunia Road (Pot holes repair and SDBC) from 2/800km to 3/250km for the year 2025-26.,Please refer tender documents ,NA ,"5,08,421",Civil Works - Roads,NA ,Tender,90.0,20.0,Salapada,758020.0,NA ,NA ,NA ,"RW Division, Anandapur",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online Tender Cost, EMD, RC, PAN, GSTIN, Affidavit and other Documents as Per DTCN",Executive Engineer,"O/o the Superintending Engineer, R.W. Division, Anandapur, Salapada",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3408541,Rajesh kumar sethy,23-Feb-2026 03:34 PM,Rejected-AOC,2nd lowest,06-Apr-2026 09:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,AOC
