Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Periodical Maintenance to Bender to Bhaluchuan road for the year 2025-26,Periodical Maintenance to Bender to Bhaluchuan road for the year 2025-26,Please refer Tender documents. ,NA ,"29,66,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Superintending Engineer, R.W.D, Patnagarh",No ,No,22-Jan-2026 06:55 PM,06-Feb-2026 11:00 AM,22-Jan-2026 06:55 PM,05-Feb-2026 05:00 PM,22-Jan-2026 06:55 PM ,04-Feb-2026 05:00 PM ,22-Jan-2026 06:55 PM,05-Feb-2026 05:00 PM,"29,660",Yes,fixed,,Nil,Nil,"Executive Engineer, R.W.Division,Patnagarh","O/o the Superintending Engineer, R.W.D, Patnagarh",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"DD, EMD, R.C, PAN, GSTIN, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-17/2025-26,2026_CERWI_125000_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2026_CERWI_125000_4,EEPTNG-online-17/2025-26,Periodical Maintenance to Bender to Bhaluchuan road for the year 2025-26,Executive Engineer,Internal,"Executive Engineer,DAO,Estr",Manik Kumbhar,30-Mar-2026 12:15 PM,finsummary_577507.pdf (985.77 KB),Finance,42 Nos bid opened,Manik Kumbhar,07-Feb-2026 08:06 PM,finance_577507.pdf,BOQ Comparative Chart,1.0,3380790.0,MAHAMMED RIZWAN,INR,"2,963,048",1,3381706,AGRAWAL STORES,05-Feb-2026 01:09 PM,Rejected-Finance,Unsucessful Bidder in Transparent Lottery System,30-Mar-2026 12:15 PM,15-Apr-2026,"INR 2,963,048",30.0,Bebisuta Sahu,15-Apr-2026 04:57 PM,1721.pdf (1065.00 KB),Executive Engineer,Internal,"Executive Engineer,DAO,Estr",Manik Kumbhar,30-Mar-2026 12:03 PM,techsummary_577507.pdf (985.77 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3380241,AKASH KUMAR JAIN,04-Feb-2026 11:19 AM,Rejected-Finance,Unsucessful Bidder in Transparent Lottery System,30-Mar-2026 12:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3381661,ANITA AGRAWAL,05-Feb-2026 01:58 PM,Rejected-Finance,Unsucessful Bidder in Transparent Lottery System,30-Mar-2026 12:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3379861,ANURAG MANGAL,04-Feb-2026 01:50 PM,Rejected-Finance,Unsucessful Bidder in Transparent Lottery System,30-Mar-2026 12:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3376428,ASHOK KUMAR PANDEY,02-Feb-2026 08:26 PM,Rejected-Finance,Unsucessful Bidder in Transparent Lottery System,30-Mar-2026 12:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3382645,BADAL KUMAR PATRA,05-Feb-2026 04:26 PM,Rejected-Finance,Unsucessful Bidder in Transparent Lottery System,30-Mar-2026 12:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3380616,BIKASH BEHERA,04-Feb-2026 03:53 PM,Rejected-Finance,Unsucessful Bidder in Transparent Lottery System,30-Mar-2026 12:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3380991,BIRENDRA SETH,04-Feb-2026 06:11 PM,Rejected-Finance,Unsucessful Bidder in Transparent Lottery System,30-Mar-2026 12:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3379820,CHIRAG KUMAR JAIN,03-Feb-2026 07:34 PM,Rejected-Finance,Unsucessful Bidder in Transparent Lottery System,30-Mar-2026 12:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3380268,DEBASHISH PANIGRAHI,04-Feb-2026 12:16 PM,Rejected-Finance,Unsucessful Bidder in Transparent Lottery System,30-Mar-2026 12:15 PM,,,,,,,,,,,,,AOC
