Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Pipli NAC,PIPILI-NAC-5(71)/2025-26,2025_ORULB_121427_49,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, pipli NAC","Office of the Executive officer, Pipli NAC, Pipli","4,300",Yes,fixed,,Nil,Nil,1.0,Having no experience,Other,,1.0,Fee/PreQual/Technical/Finance,.pdf,Regist_of_licence_GST_Regd_PAN_Paper_cost_Affidavit_Decl_and_other_doc_as_per_DTCN,1,ICICI BANK,27-Nov-2025 12:00 PM,09-Dec-2025 11:00 AM,27-Nov-2025 12:00 PM,08-Dec-2025 05:00 PM,NA ,NA ,27-Nov-2025 12:00 PM,08-Dec-2025 05:00 PM,Construction of road from SDPO office to Muna Babu House (Balance Portion) in Ward No 12,Construction of road from SDPO office to Muna Babu House (Balance Portion) in Ward No 12,Please refer Tender documents. ,NA ,"4,23,739",Civil Works - Roads,NA ,Tender,90.0,60.0,Pipli NAC,752104.0,NA ,NA ,NA ,"Office of the Executive officer, Pipli NAC, Pipli",No ,No,"2,000",0.0,Nil,Nil,No,AOC,Chairperson,Internal,,Kadambini Jena,04-Apr-2026 08:11 AM,techsummary_567249.pdf (655.70 KB),Chairperson,Internal,,Kadambini Jena,04-Apr-2026 08:15 AM,finsummary_567249.pdf (655.70 KB),Finance,2 nos. of bidder have participeted in bidding process,Kadambini Jena,04-Apr-2026 08:09 AM,,BOQ Comparative Chart,04-Apr-2026,"INR 423,774.11",60.0,Kadambini Jena,04-Apr-2026 08:19 AM,WO.pdf (449.00 KB),1,3287168,Chandramani Dash,08-Dec-2025 07:27 AM,Accepted-AOC,As per quoted rate,04-Apr-2026 08:19 AM,Municipal Bodies||Pipli NAC,2025_ORULB_121427_49,PIPILI-NAC-5(71)/2025-26,Construction of road from SDPO office to Muna Babu House (Balance Portion) in Ward No 12,1.0,3287168.0,Chandramani Dash,INR,"423,774.11",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3287204,M/S MUSKAN CONSTRUCTION,08-Dec-2025 07:50 AM,Rejected-AOC,As per quoted rate,04-Apr-2026 08:19 AM,,,,,,,,,,AOC
