S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Stage
1.0,3363262.0,SWASTIK CONSTRUCTION,INR,"2,903,287",Finance,8 bidders applied,Basanti Tudu,15-Apr-2026 08:56 AM,,BOQ Comparative Chart,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Basanti Tudu,15-Apr-2026 09:05 AM,finsummary_576325.pdf (308.72 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2026_CERWI_124719_8,Online -EERKL-26 of 2025-26,SR to R.D. Road to Puruna Bisra road for the year 2025-26,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Basanti Tudu,15-Apr-2026 09:00 AM,techsummary_576325.pdf (308.72 KB),1,3363698,BIKAS MUNDARY,22-Jan-2026 02:39 PM,Rejected-AOC,Rejected,15-Apr-2026 09:09 AM,15-Apr-2026,"INR 2,903,287",30.0,Basanti Tudu,15-Apr-2026 09:09 AM,04.pdf (309.00 KB),Awarded Cost,AOC,17-Jan-2026 06:00 PM,22-Jan-2026 06:30 PM,17-Jan-2026 06:00 PM,22-Jan-2026 06:00 PM,17-Jan-2026 06:00 PM ,21-Jan-2026 06:00 PM ,17-Jan-2026 06:00 PM,22-Jan-2026 06:00 PM,SR to R.D. Road to Puruna Bisra road for the year 2025-26,SR to R.D. Road to Puruna Bisra road for the year 2025-26,Please refer Tender documents. ,NA ,"37,27,898",Civil Works - Roads,NA ,Tender,90.0,30.0,Rourkela,769004.0,NA ,NA ,NA ,"Office of the Executive Engineer,RW Division,Rourk",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit Towards Authenticity of Documents,"6,000",0.0,Nil,Nil,No,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,Online -EERKL-26 of 2025-26,2026_CERWI_124719_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"37,280",Yes,fixed,,Nil,Nil,"Ececutive Engineer, RW Division,Rourkela","Office of the Executive Engineer,RW Division,Rourk",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3363286,GOPAL TOPPO,22-Jan-2026 12:41 PM,Rejected-AOC,Rejected,15-Apr-2026 09:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Card, GSTN, Regestration Certificate another as per DTCN, Contact No",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3363035,HIMANSU SEKHAR PANDA,21-Jan-2026 06:07 PM,Rejected-AOC,Rejected,15-Apr-2026 09:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding norelation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3363589,M/S DEVI CONSTRUCTION,22-Jan-2026 01:16 PM,Rejected-AOC,Rejected,15-Apr-2026 09:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding correctness of information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3362891,SACHIN LUGUN,21-Jan-2026 02:17 PM,Rejected-AOC,Rejected,15-Apr-2026 09:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Year wise Financial Turnover, certified by a Charted Accountant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3363612,SUMIT SAHOO,22-Jan-2026 01:31 PM,Rejected-AOC,Rejected,15-Apr-2026 09:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3362318,SUSHANTA KUMAR SUNA,21-Jan-2026 05:05 PM,Rejected-AOC,Rejected,15-Apr-2026 09:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3363262,SWASTIK CONSTRUCTION,21-Jan-2026 06:13 PM,Accepted-AOC,Awarded,15-Apr-2026 09:09 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
