S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3368435.0,Madhu Badanayak,INR,"2,203,279",Finance,Summary,Srikrushna Sabar,23-Apr-2026 05:46 PM,finance_576519.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,23-Apr-2026 06:03 PM,finsummary_576519.pdf (1723.39 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,2026_CERWI_124749_6,SERWKPT ONLINE 09/2025-26,Special Repair to T06-Admunda to Lulla of Dasmantpur Block for the year 2025-26.,Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,23-Apr-2026 05:50 PM,techsummary_576519.pdf (1723.39 KB),23-Apr-2026,"INR 2,203,279",30.0,Srikrushna Sabar,23-Apr-2026 06:07 PM,AdmundaLulla_A.pdf (593.00 KB),Agreement Drawn,1,3368932,AMLANJYOTI PATNAIK,27-Jan-2026 04:52 PM,Rejected-AOC,Disqualified,23-Apr-2026 06:07 PM,AOC,1.0,ICICI BANK,"Rural Works Division, Koraput","Rural Works Division, Koraput","6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,SERWKPT ONLINE 09/2025-26,2026_CERWI_124749_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate, GSTIN, PAN, affidavit and other tender related documents","33,900",Yes,fixed,,Nil,Nil,Special Repair to T06-Admunda to Lulla of Dasmantpur Block for the year 2025-26.,Special Repair to T06-Admunda to Lulla of Dasmantpur Block for the year 2025-26.,Please refer Tender documents. ,NA ,"33,89,660",Civil Works - Roads,NA ,Tender,90.0,30.0,Koraput,764020.0,NA ,NA ,NA ,"Rural Works Division, Koraput",No ,No,19-Jan-2026 10:00 AM,28-Jan-2026 11:00 AM,19-Jan-2026 10:00 AM,27-Jan-2026 05:30 PM,19-Jan-2026 10:00 AM ,27-Jan-2026 05:30 PM ,19-Jan-2026 10:00 AM,27-Jan-2026 05:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3367708,ARJUNA SAUNTA,27-Jan-2026 12:17 PM,Rejected-AOC,Disqualified,23-Apr-2026 06:07 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3361990,Budu Beniya,20-Jan-2026 08:23 PM,Rejected-AOC,Disqualified,23-Apr-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3365906,CHANCHAL KUMAR NAYAK,26-Jan-2026 03:53 PM,Rejected-AOC,Disqualified,23-Apr-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3363631,CHANDANA MISHRA,23-Jan-2026 01:58 PM,Rejected-AOC,Disqualified,23-Apr-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3368959,DILIP KUMAR PRADHAN,27-Jan-2026 05:07 PM,Rejected-AOC,Disqualified,23-Apr-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3366332,JANAKI KANTA BISOI,26-Jan-2026 04:34 PM,Rejected-AOC,Disqualified,23-Apr-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3368615,JITENDRA SUBUDHI,27-Jan-2026 03:46 PM,Rejected-AOC,Disqualified,23-Apr-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3362038,LIPUN PRADHAN,20-Jan-2026 09:23 PM,Rejected-AOC,Disqualified,23-Apr-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3368435,Madhu Badanayak,27-Jan-2026 03:04 PM,Accepted-AOC,Qualified,23-Apr-2026 06:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
