S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3294108.0,RAJ NARAYAN SAHOO,INR,"1,011,865",Finance,All Bidders are qualified in the Technical Evaluation.,Manas Ranjan Pal,27-Feb-2026 12:44 PM,finance_565619.pdf,BOQ Comparative Chart,CHAIRPERSON,Internal,ADDITIONAL TRESURY OFFICER EXECUTIVE OFFICER MUNICIPAL ENGINEER,Manas Ranjan Pal,08-Apr-2026 01:12 PM,finsummary_565619.pdf (1736.58 KB),Municipal Bodies||Jagatsinghpur Municipality,2025_ORULB_121600_2,EO/ JSPURM/W-02/2025-26,Renovation of Drain and Road From Rabi Narayana Sahu House to Sridhar Sahu House at Ward no-9,CHAIRPERSON,Internal,ADDITIONAL TRESURY OFFICER EXECUTIVE OFFICER MUNICIPAL ENGINEER,Manas Ranjan Pal,08-Apr-2026 01:00 PM,techsummary_565619.pdf (1613.17 KB),08-Apr-2026,"INR 1,011,865",60.0,Manas Ranjan Pal,08-Apr-2026 01:16 PM,E82465AOC.pdf (1026.00 KB),1,3294576,AJAYA KUMAR MOHAPATRA,11-Dec-2025 11:04 AM,Rejected-Finance,REJECTED,08-Apr-2026 01:12 PM,AOC,Municipal Bodies||Jagatsinghpur Municipality,EO/ JSPURM/W-02/2025-26,2025_ORULB_121600_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Renovation of Drain and Road From Rabi Narayana Sahu House to Sridhar Sahu House at Ward no-9,Renovation of Drain and Road From Rabi Narayana Sahu House to Sridhar Sahu House at Ward no-9,Please refer Tender documents. ,NA ,"10,01,900",Civil Works - Others,NA ,Tender,60.0,60.0,Renovation of Drain and Road From Rabi Narayana Sa,754103.0,NA ,NA ,NA ,JAGATSINGHPUR MUNICIPALITY,No ,No,"10,200",Yes,fixed,,Nil,Nil,1.0,Corrigendum-Works,Date,,"EXECUTIVE OFFICER, JAGATSINGHPUR MUNICIPALITY","Jagatsinghpur Municipality, Jagatsinghpur",1.0,ICICI BANK,21-Nov-2025 11:00 AM,15-Dec-2025 11:00 AM,21-Nov-2025 11:00 AM,12-Dec-2025 05:00 PM,NA ,NA ,21-Nov-2025 11:00 AM,12-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST,AFFIDAVIT,LICENSE,AGGREMENT AND OTHER DOC AS PER DTCN","7,080",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3296784,BIPINI BIHARI DAS,12-Dec-2025 09:51 AM,Rejected-Finance,REJECTED,08-Apr-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BoQ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3296550,DIPTIRANJAN BEHERA,11-Dec-2025 10:52 PM,Rejected-Finance,REJECTED,08-Apr-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3297728,GOLEKHA CHANDRA BARIK,12-Dec-2025 02:08 PM,Rejected-Finance,REJECTED,08-Apr-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3289772,HIMANSU SEKHAR PAITAL,11-Dec-2025 08:13 PM,Rejected-Finance,REJECTED,08-Apr-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3296829,KAILASH CHANDRA PANDA,12-Dec-2025 01:09 PM,Rejected-Finance,REJECTED,08-Apr-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3294515,MANOJ SINGH,11-Dec-2025 04:34 PM,Rejected-Finance,REJECTED,08-Apr-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3297317,M/S. HIMANSU SEKHAR SETHI,12-Dec-2025 01:29 PM,Rejected-Finance,REJECTED,08-Apr-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3285805,NITYANANDA MOHAPATRA,08-Dec-2025 09:29 AM,Rejected-Finance,REJECTED,08-Apr-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3292564,PRADEEP KUMAR DAS,09-Dec-2025 11:18 PM,Rejected-Finance,REJECTED,08-Apr-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
