Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,18 numbers of bidder found in bidding....,Aswini Kumar Patnaik,06-Mar-2026 12:24 AM,,BOQ Comparative Chart,1.0,3343716.0,RAJESH KUMAR BISOYI,INR,"724,699",Municipal Bodies||Umerkote Municipality,2025_ORULB_123906_1,UKTM-MUN- 05/2025-26(4),Const. of Community Centre at Ektaguda in Ward No-13,Smt. RADHA BHATRA,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality A.E Umerkote Municipality Accountant Umerkote Municipality,Aswini Kumar Patnaik,03-Apr-2026 02:02 PM,finsummary_573524.pdf (604.13 KB),Smt. Radha Bhatra,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality A.E Umerkote Municipality Accountant Umerkote Municipality,Aswini Kumar Patnaik,06-Mar-2026 02:06 AM,techsummary_573524.pdf (4173.61 KB),1,3354495,ALEKHA CHANDRA MOHANTY,14-Jan-2026 09:13 PM,Rejected-Finance,L2 bidder,03-Apr-2026 02:02 PM,15-Apr-2026,"INR 724,699",60.0,Aswini Kumar Patnaik,16-Apr-2026 08:55 AM,AOC.pdf (513.00 KB),LOA issued in favour of Sri Rajesh Kumar Bisoyi as he is qualified as L1 bidder......,AOC,Executive Officer,Umerkote Municipality Umerkote,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN,Regd Certificates,GSTIN,PAN etc...",1.0,ICICI BANK,1.0,CANCELLATION OF PREVIOSU CORRIGENDUM AND DATE EXTENSION OF TENDER,Date,,Const. of Community Centre at Ektaguda in Ward No-13,Civil Work,Please refer to Tender Documents ,NA ,,Civil Works - Buildings,NA ,Tender,60.0,60.0,Umerkote Municipality,764073.0,NA ,NA ,NA ,Umerkote Municipality,No ,No,"8,524",Yes,fixed,,Nil,Nil,29-Dec-2025 10:00 AM,16-Jan-2026 11:00 AM,29-Dec-2025 10:00 AM,15-Jan-2026 05:00 PM,NA ,NA ,29-Dec-2025 10:00 AM,15-Jan-2026 05:00 PM,Municipal Bodies||Umerkote Municipality,UKTM-MUN- 05/2025-26(4),2025_ORULB_123906_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3355325,ANJALI BISWAS,15-Jan-2026 12:42 PM,Rejected-Finance,L2 bidder,03-Apr-2026 02:02 PM,,,,,,,,AOC,,,,,.xls,BOQ FINANCE BID,2.0,ICICI NEFT/RTGS,2.0,CORRIGENDUM ON APS,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3355438,ASHUTOSH HALDAR,15-Jan-2026 02:37 PM,Rejected-Finance,L2 bidder,03-Apr-2026 02:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3355929,BARUN KUMAR GOND,15-Jan-2026 04:05 PM,Rejected-Finance,L2 bidder,03-Apr-2026 02:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3355390,BINOD KUMAR MOHANTY,15-Jan-2026 04:10 PM,Rejected-Finance,L2 bidder,03-Apr-2026 02:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3355403,DEV CONSTRUCTION CO,15-Jan-2026 03:21 PM,Rejected-Finance,L2 bidder,03-Apr-2026 02:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3354578,DIGAMBAR MOHANTY,15-Jan-2026 01:06 AM,Rejected-Finance,L2 bidder,03-Apr-2026 02:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3352935,DILIP BISWAS,15-Jan-2026 12:25 PM,Rejected-Finance,L2 bidder,03-Apr-2026 02:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3346036,HATIA ROUT,15-Jan-2026 01:55 PM,Rejected-Finance,L2 bidder,03-Apr-2026 02:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3355260,HIMANSHU PRADHAN,15-Jan-2026 02:38 PM,Rejected-Finance,L2 bidder,03-Apr-2026 02:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
