Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,It will be finalized by the Tender Committee,LAXMAN KUMAR MURMU,24-Dec-2025 11:47 AM,,BOQ Comparative Chart,1,3313212,SANOJ KUMAR ADHIKARI,18-Dec-2025 11:08 AM,Accepted-AOC,L1,06-Apr-2026 01:22 PM,Municipal Bodies||Parlakhemundi Municipal Council,2025_ORULB_122577_25,05/PKDM-2025-26,"Beautification and cultural center at New Kampo Street upper side -2, Ward No.12",1.0,3313212.0,SANOJ KUMAR ADHIKARI,INR,"507,821",06-Apr-2026,"INR 507,821",60.0,LAXMAN KUMAR MURMU,06-Apr-2026 01:22 PM,25.pdf (439.00 KB),"Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,06-Apr-2026 01:10 PM,techsummary_569489.pdf (2567.05 KB),"Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,06-Apr-2026 01:21 PM,finsummary_569489.pdf (2567.05 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT AND DTCN,06-Dec-2025 10:00 AM,19-Dec-2025 11:00 AM,06-Dec-2025 10:00 AM,18-Dec-2025 05:00 PM,NA ,NA ,06-Dec-2025 10:00 AM,18-Dec-2025 05:00 PM,"Executive Officer, Paralakhemundi Municipality","Executive Officer, Paralakhemundi Municipality","Beautification and cultural center at New Kampo Street upper side -2, Ward No.12",Beautification and cultural center,Please refer Tender documents. ,NA ,"5,07,821",Civil Works - Others,NA ,Tender,90.0,60.0,Paralakhemundi Municipality,761200.0,NA ,NA ,NA ,Paralakhemundi Municipality,No ,No,1,ICICI BANK,Municipal Bodies||Parlakhemundi Municipal Council,05/PKDM-2025-26,2025_ORULB_122577_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,078",Yes,fixed,,Nil,Nil,AOC
,,,,,,2,3312814,Smt. Sukumari Sabara,17-Dec-2025 11:52 PM,Rejected-AOC,L2,06-Apr-2026 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
