S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3295825.0,SARASWAT MISHRA,INR,"19,120,467.32",Shiv Shankar Mishra,Internal,"PA, Assistant Executive Engineer, Junior Engineer, ITDA Keonjhar",Shiv Kumar Mishra,24-Apr-2026 05:03 AM,finsummary_567660.pdf (413.58 KB),ST and SC Development Deptt||ITDA Keonjhar,2025_STSCD_122145_5,Bid Identification No ITDAK- 02 / 2025-26.,Construction of 100 seated ST Boys Hostel Building at Podanga (Govt (SSD) High School in Telkoi Block in the District of Keonjhar,Technical,Bid opening summary,Shiv Kumar Mishra,18-Dec-2025 09:44 AM,technical_567660.pdf,Finance,Bid opening summary,Shiv Kumar Mishra,14-Jan-2026 12:31 PM,finance_567660.pdf,BOQ Comparative Chart,Shiv Shankar Mishra,Internal,"PA, Assistant Executive Engineer, Junior Engineer, ITDA Keonjhar",Shiv Kumar Mishra,10-Jan-2026 07:57 AM,12-Jan-2026 11:00 AM,techsummary_567660.pdf (243.57 KB),24-Apr-2026,"INR 19,120,467.32",270.0,Shiv Kumar Mishra,24-Apr-2026 05:09 AM,5_Podanga_HS_Boys_Hostel.pdf (830.00 KB),Winner of lottery.,1,3293105,ASIS KUMAR THAMB,10-Dec-2025 01:32 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:09 AM,AOC,"2,25,000",Yes,fixed,,Nil,Nil,28-Nov-2025 09:00 AM,12-Dec-2025 11:00 AM,28-Nov-2025 09:00 AM,11-Dec-2025 05:00 PM,NA ,NA ,28-Nov-2025 09:00 AM,11-Dec-2025 05:00 PM,12-Jan-2026 11:00 AM,Construction of 100 seated ST Boys Hostel Building at Podanga (Govt (SSD) High School in Telkoi Block in the District of Keonjhar,Construction of 100 seated ST Boys Hostel Building at Podanga (Govt (SSD) High School in Telkoi Block in the District of Keonjhar,Please refer Tender documents. ,NA ,"2,24,92,022",Civil Works - Buildings,NA ,Tender,90.0,270.0,Keonjhar,758001.0,NA ,NA ,NA ,"O/o The Project Administrator, ITDA, Keonjhar",No ,No,1.0,ICICI BANK,"The Project Administrator, ITDA, Keonjhar","O/o the Project Administrator, ITDA, Mandua, Keonjhar-758001",ST and SC Development Deptt||ITDA Keonjhar,Bid Identification No ITDAK- 02 / 2025-26.,2025_STSCD_122145_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, EMD, PAN, GSTIN, Contractor registration Certificate, Affidavit, etc.","10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3290287,BENUDHAR SAMAL,08-Dec-2025 06:54 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3294475,CHINMAYA RANJAN SAHANI,11-Dec-2025 08:56 AM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3293986,DEBABRATA BARAL,10-Dec-2025 07:31 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3290525,HIMANSU SEKHAR PRADHAN,08-Dec-2025 08:47 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3294015,JANMEJAY NAYAK,10-Dec-2025 07:58 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3295548,LALUPRASAD GHADEI,11-Dec-2025 02:57 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3294945,NIRAKAR SAMAL,11-Dec-2025 12:56 PM,Rejected-Finance,As per decision of Tender Evaluation Committee.,24-Apr-2026 05:03 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3292848,Rajendra Dhar,10-Dec-2025 12:29 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3295825,SARASWAT MISHRA,11-Dec-2025 04:36 PM,Accepted-AOC,Winner of lottery.,24-Apr-2026 05:09 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3295863,SHIVRAM KRISHNA,11-Dec-2025 04:51 PM,Rejected-Finance,As per decision of Tender Evaluation Committee.,24-Apr-2026 05:03 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
