S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3408446.0,Kishor Chandra Patra,INR,"305,710",Chairperson,Internal,Executive Officer Junior Engineer Accountant Municipal Engineer,Rasmi Rani Nahak,22-Apr-2026 05:21 PM,finsummary_580394.pdf (464.04 KB),Municipal Bodies||Aska NAC,2026_ORULB_125752_7,ASKANAC/WORKSMISC-09/2025-26,"CONSTRUCTION OF PAVER ROAD NEAR NAC OFFICE WARD NO.04, NAC,ASKA",Technical,Admited,Rajesh Kumar Mahapatra,24-Feb-2026 03:05 PM,,Finance,Admitted,Rajesh Kumar Mahapatra,26-Feb-2026 02:52 PM,,BOQ Comparative Chart,Chairperson,Internal,Executive Officer Junior Engineer Municipal Engineer Accountant,Rasmi Rani Nahak,26-Feb-2026 12:10 PM,26-Feb-2026 12:20 PM,techsummary_580394.pdf (464.04 KB),22-Apr-2026,"INR 305,710",120.0,Rasmi Rani Nahak,24-Apr-2026 12:18 PM,workorder07.pdf (582.00 KB),1,3408446,Kishor Chandra Patra,23-Feb-2026 02:43 PM,Accepted-AOC,accepted,24-Apr-2026 12:18 PM,AOC,"4,720",0.0,Nil,Nil,No,Municipal Bodies||Aska NAC,ASKANAC/WORKSMISC-09/2025-26,2026_ORULB_125752_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"CONSTRUCTION OF PAVER ROAD NEAR NAC OFFICE WARD NO.04, NAC,ASKA","CONSTRUCTION OF PAVER ROAD NEAR NAC OFFICE WARD NO.04, NAC,ASKA",Please refer Tender documents. ,NA ,"3,18,448",Civil Works - Others,NA ,Tender,120.0,NA ,"NAC,ASKA",761110.0,NA ,NA ,NA ,"EXECUTIVE OFFICER NAC,ASKA",No ,No,"Executive Officer, NAC, Aska","Executive Officer, NAC, Aska",1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,DTCN,"3,184",Yes,fixed,,Nil,Nil,11-Feb-2026 11:00 AM,24-Feb-2026 11:00 AM,11-Feb-2026 11:00 AM,23-Feb-2026 05:00 PM,NA ,NA ,11-Feb-2026 11:00 AM,23-Feb-2026 05:00 PM,26-Feb-2026 12:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3408735,Samira Kumar Behera,23-Feb-2026 04:52 PM,Rejected-Finance,Rejetced,22-Apr-2026 05:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC
