Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
SE,Internal,,Ashirbad Panda,17-Apr-2026 10:24 AM,techsummary_581747.pdf (193.30 KB),1.0,3409601.0,M/s PRATEEK CONSTRUCTIONS,24-Feb-2026 01:40 PM,Accepted-AOC,ok,17-Apr-2026 10:30 AM,17-Apr-2026,"INR 1,091,473",30.0,Ashirbad Panda,17-Apr-2026 10:30 AM,111.pdf (193.00 KB),aoc,1.0,3409601.0,M/s PRATEEK CONSTRUCTIONS,INR,"1,091,473",Finance,1nos,Ashirbad Panda,17-Apr-2026 10:19 AM,finance_581747.pdf,BOQ Comparative Chart,SE,Internal,,Ashirbad Panda,17-Apr-2026 10:25 AM,finsummary_581747.pdf (193.30 KB),CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-SAMBALPUR,2026_CERWI_126226_2,Tenderonline SBPR-21 of 25-26,AMP of PWD road to Sardhapali road for the year 25-26,AOC,"6,000",0.0,Nil,Nil,No,18-Feb-2026 01:00 PM,25-Feb-2026 10:00 AM,18-Feb-2026 01:00 PM,24-Feb-2026 05:00 PM,NA ,NA ,18-Feb-2026 01:00 PM,24-Feb-2026 05:00 PM,"SE RW Division, Sambalpur","SE RW Division, Sambalpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof copy of Tender cost, EMD, GSTIN, PAN, RC, Affidavit",AMP of PWD road to Sardhapali road for the year 25-26,AMP of PWD road to Sardhapali road for the year 25-26,Please refer Tender documents. ,NA ,"10,92,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Sambalpur,768001.0,NA ,NA ,NA ,"SE RW Division, Sambalpur",No ,No,"10,920",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-SAMBALPUR,Tenderonline SBPR-21 of 25-26,2026_CERWI_126226_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
