Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_121904_14,ITDASNG-05/2025-26,Construction of 50 seated PSH building at Laikera in Hemgir Block,1.0,3307878.0,MANOJ KUMAR CHOUDHURY,INR,"13,945,543",1,3288783,BHABANI SHANKAR PATEL,11-Dec-2025 09:15 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:00 PM,07-Apr-2026,"INR 13,945,543",330.0,LAXMAN SAHOO,09-Apr-2026 11:59 AM,Laikera50.pdf (291.00 KB),AOC,COLLECTOR SUNDARGARH,Internal,"AEE, ITDA, SE, MI Division, PA, ITDA, Sundargarh",LAXMAN SAHOO,02-Feb-2026 06:55 PM,03-Feb-2026 11:00 AM,techsummary_566849.pdf (542.89 KB),Finance,Tender Status,Sudam Chandra Patel,05-Feb-2026 12:21 PM,finance_566849.pdf,BOQ Comparative Chart,COLLECTOR SUNDARGARH,Internal,"AEE, ITDA, SE, MI Division and PA, ITDA, Sundargarh",LAXMAN SAHOO,13-Feb-2026 06:20 PM,finsummary_566849.pdf (588.00 KB),Technical,Tender Status,LAXMAN SAHOO,02-Feb-2026 12:53 PM,technical_566849.pdf,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Liscence, pancard, GSTIN, Affidavits and other documents as per DTCN","1,64,046",Yes,fixed,,Nil,Nil,Project Administrartor,ITDA Sundargarh,28-Nov-2025 11:00 AM,17-Dec-2025 11:00 AM,28-Nov-2025 11:00 AM,16-Dec-2025 05:00 PM,NA ,NA ,28-Nov-2025 11:00 AM,16-Dec-2025 05:00 PM,03-Feb-2026 11:00 AM,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-05/2025-26,2025_STSCD_121904_14,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of 50 seated PSH building at Laikera in Hemgir Block,Construction of 50 seated PSH building at Laikera in Hemgir Block,Please refer Tender documents. ,NA ,"1,64,04,591",Civil Works - Buildings,NA ,Tender,90.0,330.0,Sundargarh,770001.0,NA ,NA ,NA ,ITDA Sundargarh,No ,No,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,2,3305388,BIKRAM PATEL,16-Dec-2025 01:42 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3308842,DEEPANJALI MARNDI,16-Dec-2025 04:54 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3287138,DIBYA SHANKAR BEHERA,16-Dec-2025 12:52 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3306987,DILIP KUMAR PATEL,16-Dec-2025 12:51 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3301723,HIMANCHAL CHOUDHURY,14-Dec-2025 07:19 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3307878,MANOJ KUMAR CHOUDHURY,16-Dec-2025 04:24 PM,Accepted-AOC,1st lowest in lottery,09-Apr-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3308499,MOHIT PATEL,16-Dec-2025 04:11 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3301542,PRITAM PRATAP NAIK,15-Dec-2025 11:54 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3307908,PRIYA RANJAN PATTNAIK,16-Dec-2025 02:40 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
