Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Finance,tender opened,PADMINI MEHER,03-Jan-2026 01:14 PM,finance_571834.pdf,BOQ Comparative Chart,1,3329981,AJIT PADHIARY,26-Dec-2025 02:57 PM,Rejected-Technical,UNSUCCESSFUL,28-Apr-2026 08:36 AM,Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_123015_22,24/SMC_SBP/2025-26,"Repair and maintenance of pot hole with covering of slab in open drain in Kainsir, Densargi and Singhpali of Ward No - 20, Under SMC",1.0,3328538.0,Manoj Kumar Garg,INR,"3,420,995",28-Apr-2026,"INR 3,420,995",90.0,Rehan Khatri,28-Apr-2026 09:20 AM,2422.pdf (765.00 KB),successful,"Siddheshwar Baliram Bondar,IAS",Internal,"JE/AE/AEE/EE/AO/DC/COMMISSIONER,SMC",Rehan Khatri,28-Apr-2026 08:36 AM,techsummary_571834.pdf (765.16 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"JE/AE/AEE/EE/AO/DC/COMMISSIONER,SMC",Rehan Khatri,28-Apr-2026 08:40 AM,finsummary_571834.pdf (765.16 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN","6,000",0.0,Nil,Nil,No,"Repair and maintenance of pot hole with covering of slab in open drain in Kainsir, Densargi and Singhpali of Ward No - 20, Under SMC","Repair and maintenance of pot hole with covering of slab in open drain in Kainsir, Densargi and Singhpali of Ward No - 20, Under SMC",Please refer Tender documents. ,NA ,"34,20,995",Civil Works - Others,NA ,Tender,120.0,90.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,1.0,ICICI BANK,"34,210",Yes,percentage,1.0%,Nil,Nil,17-Dec-2025 11:00 AM,29-Dec-2025 11:00 AM,17-Dec-2025 11:00 AM,26-Dec-2025 05:00 PM,NA ,NA ,17-Dec-2025 11:00 AM,26-Dec-2025 05:00 PM,Municipal Bodies||Sambalpur Municipal Corporation,24/SMC_SBP/2025-26,2025_ORULB_123015_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"COMMISSIONER, SMC","SAMBALPUR MUNICIPAL CORPORATION, DURGAPALI, SAMBALPUR, 768006",AOC
,,,,,,2,3328538,Manoj Kumar Garg,26-Dec-2025 08:55 AM,Accepted-AOC,successful,28-Apr-2026 09:20 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,3330266,SHAIKH YUSUF,26-Dec-2025 04:19 PM,Rejected-Technical,UNSUCCESSFUL,28-Apr-2026 08:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3330221,SHYAMA CONSTRUCTIONS,26-Dec-2025 04:08 PM,Rejected-Technical,UNSUCCESSFUL,28-Apr-2026 08:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
