S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3428493.0,CH. OM PRAKASH DAS,INR,"630,077.02",Finance,Downloaded,Sudhakar Naik,16-Apr-2026 12:03 PM,finance_584368.pdf,BOQ Comparative Chart,Superintendig Engineer,Internal,"DAO,AE Estimator",Sudhakar Naik,17-Apr-2026 05:46 PM,finsummary_584368.pdf (772.21 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2026_CERWI_126976_2,RWD Ctc-27/2025-26,S/R to Kendrapada Canal Embankment to Raghabpur road in the district of Cuttack for the year 2025-26,Superintendig Engineer,Internal,"DAO, AE Estimator",Sudhakar Naik,17-Apr-2026 05:33 PM,techsummary_584368.pdf (772.21 KB),1,3424720,BICHITRA NANDA BEHERA,09-Mar-2026 07:05 PM,Rejected-Finance,Not Selected in Lottery,17-Apr-2026 05:46 PM,17-Apr-2026,"INR 630,077.02",30.0,Sudhakar Naik,17-Apr-2026 05:49 PM,wo.pdf (578.00 KB),Awarded,AOC,07-Mar-2026 06:00 PM,13-Mar-2026 11:00 AM,07-Mar-2026 06:00 PM,12-Mar-2026 06:00 PM,07-Mar-2026 06:00 PM ,11-Mar-2026 05:00 PM ,07-Mar-2026 06:00 PM,12-Mar-2026 06:00 PM,S/R to Kendrapada Canal Embankment to Raghabpur road in the district of Cuttack for the year 2025-26,S/R to Kendrapada Canal Embankment to Raghabpur road in the district of Cuttack for the year 2025-26,Refer Tender Documents ,NA ,"8,40,000",Civil Works - Roads,NA ,Tender,90.0,30.0,"S.E., R.W. Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E., R.W.Division,Cuttack",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD, PAN, Affidavit,correctness and No relation certificate and as per DTCN",1.0,ICICI BANK,"8,400",Yes,percentage,1.0%,Nil,Nil,"S.E., R.W. Division, Cuttack","S.E., R.W. Division, Cuttack,","4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD Ctc-27/2025-26,2026_CERWI_126976_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3428493,CH. OM PRAKASH DAS,12-Mar-2026 01:36 PM,Accepted-AOC,Awarded,17-Apr-2026 05:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3428645,KALPANA PARIJA,12-Mar-2026 02:23 PM,Rejected-Finance,Not Selected in Lottery,17-Apr-2026 05:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3428751,PRAKASH CHANDRA BHUYAN,12-Mar-2026 03:35 PM,Rejected-Finance,Not Selected in Lottery,17-Apr-2026 05:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3427881,SEPHALI NAYAK,11-Mar-2026 10:34 PM,Rejected-Finance,Not Selected in Lottery,17-Apr-2026 05:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3428341,SUKADEV SETHI,12-Mar-2026 12:57 PM,Rejected-Finance,Not Selected in Lottery,17-Apr-2026 05:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3427800,SUSHANT NAYAK,11-Mar-2026 08:17 PM,Rejected-Finance,Not Selected in Lottery,17-Apr-2026 05:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
