Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,tender opened,PADMINI MEHER,03-Jan-2026 01:03 PM,finance_571832.pdf,BOQ Comparative Chart,16-Apr-2026,"INR 4,205,777",90.0,Rehan Khatri,16-Apr-2026 11:41 AM,24SM20.pdf (796.00 KB),SUCCESSFUL,1.0,3330214.0,SHYAMA CONSTRUCTIONS,INR,"4,205,777",Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_123015_20,24/SMC_SBP/2025-26,"Development and Maintenance of Potholes-free roads and Covering of slab in open drain at Brundaban vihar, Chinmayamission, Kultapada and Near Bhimobhoi park in Ward No.19 under Sambalpur Municipal Corporation.",1,3329968,AJIT PADHIARY,26-Dec-2025 02:55 PM,Rejected-Technical,UNSUCCESSFUL,16-Apr-2026 11:35 AM,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,16-Apr-2026 11:35 AM,techsummary_571832.pdf (796.42 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,16-Apr-2026 11:39 AM,finsummary_571832.pdf (796.42 KB),AOC,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"COMMISSIONER, SMC","SAMBALPUR MUNICIPAL CORPORATION, DURGAPALI, SAMBALPUR, 768006",17-Dec-2025 11:00 AM,29-Dec-2025 11:00 AM,17-Dec-2025 11:00 AM,26-Dec-2025 05:00 PM,NA ,NA ,17-Dec-2025 11:00 AM,26-Dec-2025 05:00 PM,"42,058",Yes,percentage,1.0%,Nil,Nil,"Development and Maintenance of Potholes-free roads and Covering of slab in open drain at Brundaban vihar, Chinmayamission, Kultapada and Near Bhimobhoi park in Ward No.19 under Sambalpur Municipal Corporation.","Development and Maintenance of Potholes-free roads and Covering of slab in open drain at Brundaban vihar, Chinmayamission, Kultapada and Near Bhimobhoi park in Ward No.19 under Sambalpur Municipal Corporation.",Please refer Tender documents. ,NA ,"42,05,777",Civil Works - Others,NA ,Tender,120.0,90.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN",Municipal Bodies||Sambalpur Municipal Corporation,24/SMC_SBP/2025-26,2025_ORULB_123015_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3326786,B. AHALYA,24-Dec-2025 06:43 PM,Rejected-Technical,UNSUCCESSFUL,16-Apr-2026 11:35 AM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3326541,GROWING TREE INFRA PRIVATE LIMITED,26-Dec-2025 01:12 PM,Rejected-Technical,UNSUCCESSFUL,16-Apr-2026 11:35 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3330249,SHAIKH YUSUF,26-Dec-2025 04:11 PM,Rejected-Technical,UNSUCCESSFUL,16-Apr-2026 11:35 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3330214,SHYAMA CONSTRUCTIONS,26-Dec-2025 04:07 PM,Accepted-AOC,SUCCESSFUL,16-Apr-2026 11:41 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
