Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,ok,ABHAS RANJAN PANIGRAHI,20-Jan-2026 08:16 PM,,BOQ Comparative Chart,1.0,3302788.0,SAIKA MANJER,INR,"424,649",Municipal Bodies||Chandbali NAC,2025_ORULB_122689_32,EO CHANDBALI,Construction of Paver Road From PMGSY Road To Ramesh Ghadei house at Kandha In Ward No.- 09,1,3328217,Dilip Kumar Das,25-Dec-2025 06:42 PM,Rejected-Finance,Due to Reject in Lottery,07-Apr-2026 08:54 AM,08-Apr-2026,"INR 424,649",60.0,Santanu Kumar Sahoo,08-Apr-2026 08:49 AM,AOC.pdf (463.00 KB),Work Order,AbhasranjanPanigrahi,Internal,PrabhatKumarSahooSantanuKumarSahoo,ABHAS RANJAN PANIGRAHI,10-Mar-2026 09:06 PM,techsummary_570413.pdf (481.62 KB),AbhasranjanPanigrahi,Internal,PrabhatKumarSahooSantanuKumarSahoo,ABHAS RANJAN PANIGRAHI,07-Apr-2026 08:54 AM,finsummary_570413.pdf (481.61 KB),AOC,Municipal Bodies||Chandbali NAC,EO CHANDBALI,2025_ORULB_122689_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,250",Yes,fixed,,Nil,Nil,1.0,Date Extension,Date,,Executive Officer,Chandbali NAC,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,ICICI BANK,Construction of Paver Road From PMGSY Road To Ramesh Ghadei house at Kandha In Ward No.- 09,Paver Road,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,60.0,"Kandha, Ward No - 09",756133.0,NA ,NA ,NA ,NAC Office,No ,No,09-Dec-2025 09:00 AM,29-Dec-2025 11:00 AM,09-Dec-2025 09:00 AM,26-Dec-2025 05:30 PM,NA ,NA ,09-Dec-2025 09:00 AM,26-Dec-2025 05:30 PM,AOC
,,,,,,,,,,,,,,,2,3304770,Ganesh Prasad Bal,16-Dec-2025 06:44 AM,Rejected-Finance,Due to Reject in Lottery,07-Apr-2026 08:54 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3309401,GANGADHAR DAS,17-Dec-2025 06:12 AM,Rejected-Finance,Due to Reject in Lottery,07-Apr-2026 08:54 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3329411,Narendra Samal,26-Dec-2025 12:38 PM,Rejected-Finance,Due to Reject in Lottery,07-Apr-2026 08:54 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3329821,RATIKANTA MAJHI(S.C),26-Dec-2025 02:09 PM,Rejected-Finance,Due to Reject in Lottery,07-Apr-2026 08:54 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3302788,SAIKA MANJER,16-Dec-2025 05:42 AM,Accepted-AOC,Due to L1 in Lottery,08-Apr-2026 08:49 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
