Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,All documents are submitted.,Bibekanand Dalai,25-Mar-2026 09:26 PM,finance_584921.pdf,BOQ Comparative Chart,1.0,3439311.0,M/S NIMRAD DIGAL,INR,"1,930,454",Municipal Bodies||Balliguda N.A.C,2026_ORULB_127198_8,EO_BLG.N_07_2025-26,Construction of Paver Road in front of Multipurpose Hall at Smart Park near CT School Ward No.4 of NAC Balliguda,Gobinda Chandra Pradhan,Internal,Executive Officer Municipal Engineer Asst Executive Engineer Asst Engineer Technical Consultant Accountant,Bibekanand Dalai,15-Apr-2026 12:54 PM,finsummary_584921.pdf (363.26 KB),Gobinda Chandra Pradhan,Internal,Executive Officer Municipal Engineer Asst Executive Engineer Asst EngineerTechnical Consultant Accountant,Bibekanand Dalai,15-Apr-2026 09:43 AM,techsummary_584921.pdf (363.26 KB),15-Apr-2026,"INR 1,930,454",30.0,Bibekanand Dalai,15-Apr-2026 01:51 PM,8.pdf (545.00 KB),1,3438787,DANDAPANI BEHERA,23-Mar-2026 12:27 PM,Rejected-AOC,Rejected,15-Apr-2026 01:52 PM,AOC,Construction of Paver Road in front of Multipurpose Hall at Smart Park near CT School Ward No.4 of NAC Balliguda,Construction of Paver Road in front of Multipurpose Hall at Smart Park near CT School Ward No.4 of NAC Balliguda,Please refer Tender documents. ,NA ,"19,49,954",Civil Works - Roads,NA ,Tender,90.0,60.0,NAC BALLIGUDA,762103.0,NA ,NA ,NA ,NAC BALLIGUDA,No ,No,13-Mar-2026 01:00 PM,24-Mar-2026 11:30 AM,13-Mar-2026 01:00 PM,23-Mar-2026 05:00 PM,NA ,NA ,13-Mar-2026 01:00 PM,23-Mar-2026 05:00 PM,Municipal Bodies||Balliguda N.A.C,EO_BLG.N_07_2025-26,2026_ORULB_127198_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"19,499",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,EXECUTIVE OFFICER,NAC BALLIGUDA,1.0,Fee/PreQual/Technical/Finance,.pdf,AS PER DTCN,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3438402,DIBAKAR BEHERA,23-Mar-2026 11:05 AM,Rejected-AOC,Rejected,15-Apr-2026 01:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3438779,K NARENDRA PRASAD PATRA,23-Mar-2026 11:00 AM,Rejected-AOC,Rejected,15-Apr-2026 01:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3438851,"MAMALY ASSOCIATES, PROP SANTOSINI BISWAL",23-Mar-2026 12:01 PM,Rejected-AOC,Rejected,15-Apr-2026 01:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3437426,MINATI BEHERA,23-Mar-2026 10:40 AM,Rejected-AOC,Rejected,15-Apr-2026 01:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3439311,M/S NIMRAD DIGAL,23-Mar-2026 03:29 PM,Accepted-AOC,L1 in lottery position.Accepted.,15-Apr-2026 01:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3438739,M/S SANJUKTA SAHU,23-Mar-2026 10:18 AM,Rejected-AOC,Rejected,15-Apr-2026 01:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3438527,PADMINI PADHI,22-Mar-2026 06:28 PM,Rejected-AOC,Rejected,15-Apr-2026 01:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3439014,PINTU NAYAK,23-Mar-2026 01:12 PM,Rejected-AOC,Rejected,15-Apr-2026 01:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3439256,PRIYANSHI CHOUDHURY,23-Mar-2026 02:51 PM,Rejected-AOC,Rejected,15-Apr-2026 01:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
