Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,15 bidder participated and accepted for Technical evaluation,Pabitra Mohan Pradhan,26-Jan-2026 06:36 PM,,BOQ Comparative Chart,1.0,3356942.0,JAGANATH MISHRA,INR,"752,057",Municipal Bodies||Boudhgarh NAC,2025_ORULB_123920_3,OR/ULB/BUD/8/2025-26,Construction of Cold Drinking water Project near Mausi Maa Mandir in ward No 06,CHAIRPERSON,Internal,"CM,EO,ME,AE,ACCT",Satya Narayan Pradhan,10-Apr-2026 06:45 PM,finsummary_573542.pdf (828.36 KB),CHAIRPERSON,Internal,"CM,EO,ME,AE,ACCT",Satya Narayan Pradhan,10-Apr-2026 05:41 PM,techsummary_573542.pdf (828.36 KB),1,3358165,Amit Bansal,17-Jan-2026 01:34 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:12 AM,11-Apr-2026,"INR 752,057",90.0,Satya Narayan Pradhan,11-Apr-2026 11:11 AM,3.pdf (585.00 KB),AS PER LOTTERY,AOC,1.0,ICICI BANK,1.0,DATE MODIFICATION,Date,,Construction of Cold Drinking water Project near Mausi Maa Mandir in ward No 06,Const of Cold Drinking water project,Please refer Tender documents. ,NA ,"7,52,809",Civil Works - Buildings,NA ,Tender,90.0,NA ,NAC Boudhgarh,762014.0,NA ,NA ,NA ,Executive Officer NAC Boudhgarh,No ,No,"7,528",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,31-Dec-2025 10:00 AM,19-Jan-2026 11:00 AM,31-Dec-2025 10:00 AM,17-Jan-2026 05:00 PM,NA ,NA ,31-Dec-2025 10:00 AM,17-Jan-2026 05:00 PM,Municipal Bodies||Boudhgarh NAC,OR/ULB/BUD/8/2025-26,2025_ORULB_123920_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,Executive Officer NAC Boudhgarh,Executive Officer NAC Boudhgarh,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3357878,BABITA SA,16-Jan-2026 08:12 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:12 AM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,2.0,DEPOSIT OF APS,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3358079,Biswanath Patra,17-Jan-2026 12:51 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:12 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3358018,CHANDRAKANTI DHAL,17-Jan-2026 11:25 AM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:12 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3356483,DHARMESH KUMAR NAYAK,15-Jan-2026 07:43 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:12 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3357919,GOBINDA MEHER,16-Jan-2026 09:57 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:12 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3356942,JAGANATH MISHRA,16-Jan-2026 11:48 AM,Accepted-AOC,AS PER LOTTERY,11-Apr-2026 11:12 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3357839,Kalyani Sahu,16-Jan-2026 09:34 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:12 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3358215,Kamal Bhoi,17-Jan-2026 02:12 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:12 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3355388,Manoj Kumar sahoo,15-Jan-2026 01:20 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:12 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
