Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Executive Officer, soro Municipality","Executive Officer, soro Municipality",Improvement of Open Place Development at Madhusudanpur Telipada,Construction work,Please refer to the tender document. ,NA ,"1,52,828",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,1.0,ICICI BANK,600.0,0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Registration Certificate, PAN Card, PAN Card, Affidavits and as per DTCN",05-Dec-2025 10:00 AM,16-Dec-2025 10:00 AM,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,NA ,NA ,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,Municipal Bodies||Soro Municipality,SOROM_06_2025-26,2025_ORULB_122362_68,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"1,528",Yes,fixed,,Nil,Nil,AOC,"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,07-Apr-2026 05:13 PM,finsummary_569098.pdf (819.20 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,06-Apr-2026 02:08 PM,techsummary_569098.pdf (819.20 KB),1,3302428,ANANTA BEHERA,15-Dec-2025 09:07 AM,Rejected-Finance,L1,07-Apr-2026 05:13 PM,1.0,3299982.0,RASA SEKHAR MOHANTY,INR,"129,919.35",Municipal Bodies||Soro Municipality,2025_ORULB_122362_68,SOROM_06_2025-26,Improvement of Open Place Development at Madhusudanpur Telipada,07-Apr-2026,"INR 129,919.35",90.0,Biswo Ranjan Pradhan,07-Apr-2026 05:17 PM,W68.pdf (566.00 KB),Finance,3 bidders have participated and all have quoted the same price.,Sanjaya Kumar Sena,22-Dec-2025 02:13 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,3300181,Gouraranjan Das,13-Dec-2025 07:23 PM,Rejected-Finance,L1,07-Apr-2026 05:13 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3299982,RASA SEKHAR MOHANTY,13-Dec-2025 05:50 PM,Accepted-AOC,Work order,07-Apr-2026 05:17 PM,,,,,,,,,,,,,,,,,,,,,,AOC
