Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No.14/2025-26,2025_ORULB_122060_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer, CD-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",1.0,ICICI BANK,"9,800",Yes,fixed,,Nil,Nil,"4,720",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online",29-Nov-2025 02:00 PM,12-Dec-2025 11:00 AM,29-Nov-2025 02:00 PM,09-Dec-2025 05:00 PM,NA ,NA ,29-Nov-2025 02:00 PM,09-Dec-2025 05:00 PM,Construction of C.C. road and drain from Sushanta Behera res to Dr. Gita Mohanty res in Ward No. 8.,Construction of C.C. road and drain from Sushanta Behera res to Dr. Gita Mohanty res in Ward No. 8.,Please refer Tender documents. ,NA ,"9,77,800",Civil Works - Others,NA ,Tender,90.0,60.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane Badambadi",No ,No,AOC,Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_122060_5,MC(CMC)CTC_Div-I_No.14/2025-26,Construction of C.C. road and drain from Sushanta Behera res to Dr. Gita Mohanty res in Ward No. 8.,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,23-Apr-2026 04:29 PM,finsummary_568140.pdf (420.76 KB),Finance,Fourteen bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidder to be verified.,Subas Chandra Sahoo,15-Dec-2025 12:43 PM,finance_568140.pdf,BOQ Comparative Chart,1.0,3285870.0,M/S GOPAL LOGISTICS,INR,"831,211",23-Apr-2026,"INR 831,211",60.0,Subas Chandra Sahoo,23-Apr-2026 04:55 PM,3208.pdf (98.00 KB),Work Order,1,3290180,Bhabagrahi Nayak,09-Dec-2025 04:37 PM,Rejected-AOC,Rejected,23-Apr-2026 04:55 PM,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,23-Apr-2026 04:23 PM,techsummary_568140.pdf (420.76 KB),AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3285212,BICHITRA NANDA DAS,08-Dec-2025 09:40 PM,Rejected-AOC,Rejected,23-Apr-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3284951,Ganesh Chandra Swain,06-Dec-2025 07:35 PM,Rejected-AOC,Rejected,23-Apr-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3279343,HRUSHIKESH SAHOO,04-Dec-2025 06:06 PM,Rejected-AOC,Rejected,23-Apr-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3285870,M/S GOPAL LOGISTICS,07-Dec-2025 01:46 PM,Accepted-AOC,Accepted,23-Apr-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3289340,PRABODH KUMAR PRUSTY,08-Dec-2025 03:05 PM,Rejected-AOC,Rejected,23-Apr-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3288799,PRAVAT KUMAR PRUSTY,08-Dec-2025 01:42 PM,Rejected-AOC,Rejected,23-Apr-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3291154,RAHUL KUMAR SWAIN,09-Dec-2025 11:58 AM,Rejected-AOC,Rejected,23-Apr-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3289107,SANJAY KUMAR SETHY(SC),08-Dec-2025 05:01 PM,Rejected-AOC,Rejected,23-Apr-2026 04:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3286079,SIBENDRA BEHERA,07-Dec-2025 04:39 PM,Rejected-AOC,Rejected,23-Apr-2026 04:55 PM,,,,,,,AOC
