S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,"5,960",Yes,fixed,,Nil,Nil,16-Jan-2026 04:00 PM,31-Jan-2026 11:00 AM,16-Jan-2026 04:00 PM,30-Jan-2026 05:00 PM,NA ,NA ,16-Jan-2026 04:00 PM,30-Jan-2026 05:00 PM,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Talcher Municipal Council,TCRM-11/2025-26,2026_ORULB_124574_30,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Talcher Municipality","At - Municipal Office, P.O. Talcher Town, Dist.Angul",Construction of Paver Block road from Baula Chhak Tala Sahi towards Kumbhar Sahi Mangala Mandir in W.No.5,Construction of Paver Block road from Baula Chhak Tala Sahi towards Kumbhar Sahi Mangala Mandir in W.No.5,Please refer Tender documents. ,NA ,"5,96,000",Civil Works - Others,NA ,Tender,90.0,30.0,Talcher Municipality Office,759107.0,NA ,NA ,NA ,Talcher Municipality Office,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of T.P., EMD, Contractor License, GSTIN, PAN, Affidavit and other documents as per DTCN",AOC,Pabitra Bhutia,Internal,,PRADIP KUMAR SAHA,02-Apr-2026 05:43 PM,techsummary_575990.pdf (235.47 KB),Pabitra Bhutia,Internal,,Pranati Nanda,03-Apr-2026 12:25 PM,finsummary_575990.pdf (235.50 KB),Finance,Two bids are accepted,Golak Bihari Sahoo,16-Feb-2026 01:13 PM,,BOQ Comparative Chart,03-Apr-2026,"INR 590,040",30.0,Pranati Nanda,03-Apr-2026 12:30 PM,mangalamandir5.pdf (394.00 KB),1,3373896,ASWINI SINGH,30-Jan-2026 01:24 PM,Accepted-AOC,Successful,03-Apr-2026 12:30 PM,Municipal Bodies||Talcher Municipal Council,2026_ORULB_124574_30,TCRM-11/2025-26,Construction of Paver Block road from Baula Chhak Tala Sahi towards Kumbhar Sahi Mangala Mandir in W.No.5,1.0,3373896.0,ASWINI SINGH,INR,"590,040",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3374424,M/S MANGALA ENGINEERING CONSTRUCTION AND CO,30-Jan-2026 03:42 PM,Rejected-AOC,Unsuccessful,03-Apr-2026 12:30 PM,,,,,,,,,,AOC
