Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"10,000",0.0,Nil,Nil,No,20-Nov-2025 05:00 PM,09-Dec-2025 03:00 PM,20-Nov-2025 05:00 PM,04-Dec-2025 05:00 PM,NA ,NA ,20-Nov-2025 05:00 PM,04-Dec-2025 05:00 PM,09-Feb-2026 12:00 PM,ST and SC Development Deptt||ITDA Nabarangpur,ITDANBG-01/25-26,2025_STSCD_121612_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of 100 Seated Boys Hostel Building at SSD Higher Secondary School, Badabharandi under Umerkote Block","Construction of 100 Seated Boys Hostel Building at SSD Higher Secondary School, Badabharandi under Umerkote Block",B and A Class ,NA ,"2,49,64,600",Civil Works - Buildings,Hostel Building ,Tender,90.0,365.0,Nabarangpur,764059.0,NA ,NA ,NA ,"ITDA, Nabarangpur",No ,No,"2,49,700",Yes,fixed,,Nil,Nil,Project Administrator,"Integrated Tribal Development Agency, Nabarangpur",1.0,Fee/PreQual/Technical,.pdf,"PAN, Affidavit, Caste Certificate, Licence, Work Performance, TP Cost, Undertakings",1.0,ICICI BANK,AOC,"ADM, Nabarangpur",Internal,"PA, ITDA, Nabarangpur, Treasury Officer, Nabarangpur, Superintending Engineer, R and B Nabarangpur Division, Assistant Executive Engineer, ITDA, Nabarangpur",JAYKURBAN PETER TIRKEY,20-Feb-2026 05:35 PM,finsummary_565808.pdf (540.40 KB),Technical,Technical Bids opened successfully,JAYKURBAN PETER TIRKEY,10-Dec-2025 12:57 PM,,ST and SC Development Deptt||ITDA Nabarangpur,2025_STSCD_121612_9,ITDANBG-01/25-26,"Construction of 100 Seated Boys Hostel Building at SSD Higher Secondary School, Badabharandi under Umerkote Block",1.0,3275029.0,Dhiraj Kumar Agrawal,INR,"21,222,406",1,3265598,Akbar Ali,02-Dec-2025 08:49 AM,Rejected-Finance,Disqualified in transparent Lottery system,20-Feb-2026 05:35 PM,20-Mar-2026,"INR 21,222,406",365.0,Dasarath Khemundu,13-Apr-2026 08:16 AM,Bada100.pdf (455.00 KB),Finance,Financial Bids opened successfully,JAYKURBAN PETER TIRKEY,09-Feb-2026 03:21 PM,,BOQ Comparative Chart,"ADM, Nabarangpur",Internal,"PA, ITDA, Nabarangpur, Treasury Officer, Nabarangpur, Superintending Engineer, R and B, Nabarangpur Division, Asssistant Executive Engineer, ITDA, Nabarangpur",JAYKURBAN PETER TIRKEY,08-Feb-2026 12:28 PM,09-Feb-2026 12:00 PM,techsummary_565808.pdf (4144.20 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,2,3272747,CHANDRA SEKHAR JENA,02-Dec-2025 08:17 PM,Rejected-Technical,Disqualified,08-Feb-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3275029,Dhiraj Kumar Agrawal,04-Dec-2025 03:11 PM,Accepted-AOC,L1,13-Apr-2026 08:16 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3278483,HIMANSU BISWAL,04-Dec-2025 04:18 PM,Rejected-Technical,Disqualified,08-Feb-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3260532,KAMAL HALDAR,27-Nov-2025 03:53 PM,Rejected-Finance,Disqualified in transparent Lottery system,20-Feb-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3278887,NITESH KUMAR JAIN,04-Dec-2025 03:25 PM,Rejected-Finance,Disqualified in transparent Lottery system,20-Feb-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3278452,SAHIL KUMAR RAY,04-Dec-2025 01:56 PM,Rejected-Technical,Disqualified,08-Feb-2026 12:28 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3261609,SAUMYA RANJAN MISHRA,02-Dec-2025 07:49 PM,Rejected-Finance,Disqualified in transparent Lottery system,20-Feb-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3274747,SP INFRA PROJECTS,03-Dec-2025 01:53 PM,Rejected-Finance,Disqualified in transparent Lottery system,20-Feb-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3273213,SUBRAT MOHAPATRA,02-Dec-2025 11:00 PM,Rejected-AOC,L2,13-Apr-2026 08:16 AM,,,,,,,,,,,,,,,,,,,,AOC
