EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"19,500",Yes,fixed,,Nil,Nil,"Executive Engineer,Central Tender Cell","Central Tender Cell, UG Floor, ICOMC Tower,Satya nagar","Construction of Road from Ranguni Sahi to Sahoo House, Bharatpur in Ward No. 22","Construction of Road from Ranguni Sahi to Sahoo House, Bharatpur in Ward No. 22",Please refer Tender documents. ,NA ,"19,49,075",Civil Works - Roads,NA ,Tender,120.0,60.0,BMC AREA,751022.0,Office Chamber of the EE(Central Tender Cell) ,"Central Tender Cell, UG Floor, ICOMC Tower,Satya nagar ",23-Dec-2025 03:30 PM ,"Central Tender Cell,BMC",No ,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-55/2025-26 Dt. 17.12.2025,2025_ORULB_123398_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,19-Dec-2025 10:30 AM,29-Dec-2025 03:30 PM,19-Dec-2025 10:30 AM,29-Dec-2025 03:00 PM,19-Dec-2025 10:30 AM ,23-Dec-2025 01:30 PM ,19-Dec-2025 10:30 AM,29-Dec-2025 03:00 PM,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,AOC,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Taras Marandi,18-Apr-2026 03:20 PM,finsummary_572115.pdf (4550.18 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Taras Marandi,18-Apr-2026 03:14 PM,techsummary_572115.pdf (2019.69 KB),18-Apr-2026,"INR 1,955,152",60.0,Taras Marandi,18-Apr-2026 03:24 PM,WO_55_14.pdf (496.00 KB),1.0,3336322.0,SAKTIPADA SWAIN,INR,"1,955,152",Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_123398_14,BMC-EE-Tender Cell-55/2025-26 Dt. 17.12.2025,"Construction of Road from Ranguni Sahi to Sahoo House, Bharatpur in Ward No. 22",1,3334374,AJAY KUMAR BEHERA,28-Dec-2025 06:10 PM,Rejected-Finance,Rejected,18-Apr-2026 03:20 PM,Finance,18 bids opened successfully,Taras Marandi,29-Dec-2025 04:22 PM,finance_572115.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3329753,ANJAN KUMAR DAS,26-Dec-2025 01:58 PM,Rejected-Finance,Rejected,18-Apr-2026 03:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3330290,CHANDAN PRASAD JENA,26-Dec-2025 04:31 PM,Rejected-Finance,Rejected,18-Apr-2026 03:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3336527,DEBANSHEE INFRA AND ASSOCIATES,29-Dec-2025 01:19 PM,Rejected-Finance,Rejected,18-Apr-2026 03:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3334012,DIPTIRANJAN RAYASINGH,28-Dec-2025 03:37 PM,Rejected-Finance,Rejected,18-Apr-2026 03:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3329909,DIPTI RANJAN SAHOO,26-Dec-2025 02:30 PM,Rejected-Finance,Rejected,18-Apr-2026 03:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3329361,GYANA RANJAN PATRA,29-Dec-2025 02:41 PM,Rejected-Finance,Rejected,18-Apr-2026 03:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3334414,JAGANNATH BEHERA,28-Dec-2025 06:23 PM,Rejected-Finance,Rejected,18-Apr-2026 03:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3329161,M/S SOMANATH BHUJABAL,27-Dec-2025 10:34 AM,Rejected-Finance,Rejected,18-Apr-2026 03:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3336168,NILENDU KUMAR ROUT,29-Dec-2025 12:26 PM,Rejected-Finance,Rejected,18-Apr-2026 03:20 PM,,,,,,,AOC
