S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,"41,723",Yes,percentage,1.0%,Nil,Nil,"Water supply to Titilagarh Section I, 11nos and Titilagarh Section II, 16nos of School and Anganwadis.","Water supply to Titilagarh Section I, 11nos and Titilagarh Section II, 16nos of School and Anganwadis.",Please refer DTCN ,NA ,"41,72,266",Civil Works - Water Works,NA ,Tender,120.0,60.0,Titilagarh Town,767033.0,NA ,NA ,NA ,"Additional Chief Engineer, P.H. Division, Balangir",No ,No,PHEO||PH Circle Bhawanipatna||PH Division Balangir,ACEPHBGR 13/2025-26,2025_PHEO_122247_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Date Change,Date,,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, PAN, GSTIN, Contractor Registration Certificate, Experience Certificate, etc","Additional Chief Engineer, P.H. Division, Balangir","Additional Chief Engineer, P.H. Division, Balangir",01-Dec-2025 11:00 AM,17-Dec-2025 11:00 AM,01-Dec-2025 11:00 AM,16-Dec-2025 05:00 PM,01-Dec-2025 11:00 AM ,11-Dec-2025 05:00 PM ,01-Dec-2025 11:00 AM,16-Dec-2025 05:00 PM,AOC,PHEO||PH Circle Bhawanipatna||PH Division Balangir,2025_PHEO_122247_2,ACEPHBGR 13/2025-26,"Water supply to Titilagarh Section I, 11nos and Titilagarh Section II, 16nos of School and Anganwadis.",1.0,3299480.0,MOHAMMAD TAHIR KHAN,INR,"3,546,843.72",Additional Chief Engineer,Internal,"Additional Chief Engineer, Divisional Accounts Officer, SE Estimator",Indrajit Sahu,30-Apr-2026 11:43 AM,techsummary_568058.pdf (869.56 KB),30-Apr-2026,"INR 3,546,843.72",60.0,Indrajit Sahu,30-Apr-2026 11:58 AM,wo.pdf (794.00 KB),L1 bidder has responded,Additional Chief Engineer,Internal,"Additional Chief Engineer, Divisional Accounts Officer, SE Estimator",Indrajit Sahu,30-Apr-2026 11:48 AM,finsummary_568058.pdf (793.79 KB),Finance,Opening Summary,Indrajit Sahu,17-Dec-2025 03:08 PM,finance_568058.pdf,BOQ Comparative Chart,1,3307306,GOPAL AGRAWAL,16-Dec-2025 04:52 PM,Rejected-Finance,Due to transparent Lottery,30-Apr-2026 11:48 AM,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3299480,MOHAMMAD TAHIR KHAN,14-Dec-2025 05:26 PM,Accepted-AOC,Awarded as per OPWD code,30-Apr-2026 11:58 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3305941,PRABIN KUMAR AGRAWAL,16-Dec-2025 01:42 PM,Rejected-Finance,Due to transparent Lottery,30-Apr-2026 11:48 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3299458,Rafik Ullah Khan,14-Dec-2025 05:30 PM,Rejected-Finance,Due to transparent Lottery,30-Apr-2026 11:48 AM,AOC
