S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3374610.0,CHINMAYI PARIDA,INR,"1,050,772",Finance,5-nos of bidders were participated,Swarnalata Sutar,31-Jan-2026 12:25 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,"Superintending Engineer Rural Works Divn. BBSR. Sr. D.A.O. R.W. Divn. BBSR, A.E.E. PIU R.W. Divn. BBSR, Divisional Estimator in charge of the work.",Nirmal Chandra Jena,09-Apr-2026 11:48 AM,finsummary_577447.pdf (320.47 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2026_CERWI_124986_3,Tender Online Divn. BBSR - 34/2025-26,S/R to Giringaput chhaka to Tala Adivasi road,Superintending Engineer,Internal,"Superintending Engineer Rural Works Divn. BBSR. Sr. D.A.O. R.W. Divn. BBSR, A.E.E. PIU R.W. Divn. BBSR, Divisional Estimator in charge of the work.",Nirmal Chandra Jena,09-Apr-2026 11:44 AM,techsummary_577447.pdf (27.76 KB),09-Apr-2026,"INR 1,050,772",30.0,Nirmal Chandra Jena,09-Apr-2026 11:52 AM,WOGiringiput.pdf (454.00 KB),Agrt. No. 566 P1 of 25-26. Work order No. 2725 dt. 13.03.2026,1,3374625,BISWAMATA CEMENT PRODUCT,30-Jan-2026 04:54 PM,Rejected-Finance,Other than L1 and L2,09-Apr-2026 11:48 AM,AOC,"6,000",0.0,Nil,Nil,No,22-Jan-2026 04:30 PM,31-Jan-2026 11:00 AM,22-Jan-2026 04:30 PM,30-Jan-2026 05:00 PM,NA ,NA ,22-Jan-2026 04:30 PM,30-Jan-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 34/2025-26,2026_CERWI_124986_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,940",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,S.E. R.W. Divn. BBSR,O/o S.E. R.W. Divn. BBSR,S/R to Giringaput chhaka to Tala Adivasi road,S/R to Giringaput chhaka to Tala Adivasi road,Please refer Tender documents. ,NA ,"16,94,000",Civil Works - Roads,NA ,Tender,90.0,30.0,S.E. R.W. Divn. BBSR,751013.0,NA ,NA ,NA ,O/o S.E. R.W. Divn. BBSR,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3364167,CHANDAN KUMAR JENA,29-Jan-2026 01:20 PM,Rejected-Finance,Other than L1 and L2,09-Apr-2026 11:48 AM,AOC,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3374610,CHINMAYI PARIDA,30-Jan-2026 04:44 PM,Accepted-AOC,Accepted,09-Apr-2026 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3374354,SBL CONSTRUCTION,30-Jan-2026 03:17 PM,Rejected-AOC,Other than L1,09-Apr-2026 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3374537,soumyaranjan jena,30-Jan-2026 04:20 PM,Rejected-Finance,Other than L1 and L2,09-Apr-2026 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
