Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,5 bidders have participated and all have quoted the same price.,Sanjaya Kumar Sena,22-Dec-2025 02:42 PM,,BOQ Comparative Chart,17-Apr-2026,"INR 162,095.46",90.0,Biswo Ranjan Pradhan,17-Apr-2026 12:09 PM,W71.pdf (695.00 KB),Municipal Bodies||Soro Municipality,2025_ORULB_122362_71,SOROM_06_2025-26,Development of Courtyard Paschima Temple Side at Meghamadhab in Ward No.- 18,1.0,3302910.0,DIBYA BHUSANA PANDA,INR,"162,095.46",1,3302446,ANANTA BEHERA,15-Dec-2025 09:23 AM,Rejected-Finance,L1,17-Apr-2026 12:06 PM,"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,06-Apr-2026 02:14 PM,techsummary_569108.pdf (1350.57 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,17-Apr-2026 12:06 PM,finsummary_569108.pdf (1350.57 KB),AOC,"1,907",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Registration Certificate, PAN Card, PAN Card, Affidavits and as per DTCN","Executive Officer, soro Municipality","Executive Officer, soro Municipality",Development of Courtyard Paschima Temple Side at Meghamadhab in Ward No.- 18,Development work,Please refer to the tender document. ,NA ,"1,90,678",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,1.0,ICICI BANK,05-Dec-2025 10:00 AM,16-Dec-2025 10:00 AM,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,NA ,NA ,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,Municipal Bodies||Soro Municipality,SOROM_06_2025-26,2025_ORULB_122362_71,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,3302910,DIBYA BHUSANA PANDA,15-Dec-2025 04:53 PM,Accepted-AOC,Work order,17-Apr-2026 12:09 PM,,,,,,,,,,,,,AOC,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3301514,JAJATIKESHARI PRADHAN,14-Dec-2025 05:15 PM,Rejected-Finance,L1,17-Apr-2026 12:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3294179,MANOJ KUMAR MANDAL,15-Dec-2025 10:30 AM,Rejected-Finance,L1,17-Apr-2026 12:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3300830,SANTOSH PARIDA,14-Dec-2025 12:01 PM,Rejected-Finance,L1,17-Apr-2026 12:06 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
