Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,Opened,SUSHANTA PATEL,08-Apr-2026 12:53 PM,finance_556370.pdf,BOQ Comparative Chart,1.0,3169991.0,BIBHUTI BHUSAN NAIK,INR,"1,187,632.74",Municipal Bodies||Sundargarh Municipality,2025_ORULB_119587_1,SNGM/04/2025-26,Construction of Culvert and retaining wall in front of PHD house road in ward No. 01,Administrator,Internal,,SUSHANTA PATEL,08-Apr-2026 01:07 PM,finsummary_556370.pdf (1332.92 KB),Administrator,Internal,,SUSHANTA PATEL,08-Apr-2026 12:58 PM,techsummary_556370.pdf (1332.92 KB),1,3170062,ASHISH KUMAR SA,31-Oct-2025 03:59 PM,Rejected-Technical,As per verification,08-Apr-2026 12:58 PM,09-Apr-2026,"INR 1,187,632.74",60.0,Vikas Mundari,09-Apr-2026 11:59 AM,FF07.pdf (764.00 KB),AoC,AOC,"13,970",Yes,fixed,,Nil,Nil,17-Oct-2025 11:00 AM,01-Nov-2025 11:00 AM,17-Oct-2025 11:00 AM,31-Oct-2025 05:00 PM,NA ,NA ,17-Oct-2025 11:00 AM,31-Oct-2025 05:00 PM,Municipal Bodies||Sundargarh Municipality,SNGM/04/2025-26,2025_ORULB_119587_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Culvert and retaining wall in front of PHD house road in ward No. 01,Construction of Culvert and retaining wall in front of PHD house road in ward No. 01,Please refer Tender documents. ,NA ,"13,97,049",Civil Works - Others,NA ,Rate Contract,120.0,NA ,Sundargarh Municipality,770001.0,NA ,NA ,NA ,Sundargarh Municipality,No ,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Document As Per DTCN,"Executive Officer, Sundargarh Municipality","Executive Officer, Sundargarh Municipality",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3166965,BHAGABATI SOHELA,31-Oct-2025 11:31 AM,Rejected-AOC,OK,09-Apr-2026 11:59 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BoQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3168346,BHARAT GHASI,30-Oct-2025 04:58 PM,Rejected-Finance,As per Lottery,08-Apr-2026 01:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3169991,BIBHUTI BHUSAN NAIK,31-Oct-2025 03:14 PM,Accepted-AOC,OK,09-Apr-2026 11:59 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3168534,Indrani Mukharjee,31-Oct-2025 12:43 PM,Rejected-Finance,As per Lottery,08-Apr-2026 01:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3166928,RABINDRA MEHER,31-Oct-2025 11:29 AM,Rejected-Finance,As per Lottery,08-Apr-2026 01:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3170110,SATYAJEET JENA,31-Oct-2025 04:15 PM,Rejected-Finance,As per Lottery,08-Apr-2026 01:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
