S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3444238.0,BHAJAHARI PRUSTY,INR,"358,200",Finance,summary uploaded,JYOTISWARUP SAHU,04-Apr-2026 03:56 PM,finance_586555.pdf,BOQ Comparative Chart,SE SCD,Internal,,JYOTISWARUP SAHU,13-Apr-2026 12:27 PM,finsummary_586555.pdf (2945.73 KB),"CCE,Anandapur Barrage Project||CCE,Anandapur||Soro Canal Division, Soro",2026_CCEAB_127669_1,SESCD- 13/01 of 2025-26,"Hiring of one no. of Vehicle for the period from 01.04.2026 to 31.03.2027 to be used in the office of the Superintending Engineer,Soro Canal Division,Soro .",SE SCD,Internal,,JYOTISWARUP SAHU,13-Apr-2026 12:24 PM,techsummary_586555.pdf (2945.73 KB),13-Apr-2026,"INR 358,200",360.0,JYOTISWARUP SAHU,13-Apr-2026 12:31 PM,LOASE.pdf (904.00 KB),1,3444238,BHAJAHARI PRUSTY,02-Apr-2026 09:12 PM,Accepted-AOC,1ST LOWEST,13-Apr-2026 12:31 PM,AOC,"Hiring of one no. of Vehicle for the period from 01.04.2026 to 31.03.2027 to be used in the office of the Superintending Engineer,Soro Canal Division,Soro .","Hiring of one no. of Vehicle for the period from 01.04.2026 to 31.03.2027 to be used in the office of the Superintending Engineer,Soro Canal Division,Soro .",Please refer Tender documents. ,NA ,"4,47,000",Miscellaneous Services,NA ,Tender,30.0,360.0,"SE, SCD, SORO",756045.0,NA ,NA ,NA ,"SE, SCD, SORO",No ,No,"5,000",No,fixed,,Nil,Nil,"SE, SCD, SORO","SE, SCD, SORO",30-Mar-2026 11:00 AM,04-Apr-2026 02:00 PM,30-Mar-2026 11:00 AM,04-Apr-2026 01:00 PM,30-Mar-2026 11:00 AM ,02-Apr-2026 05:00 PM ,30-Mar-2026 11:00 AM,04-Apr-2026 01:00 PM,1,ICICI BANK,0.0,0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,BID DOCUMENT,"CCE,Anandapur Barrage Project||CCE,Anandapur||Soro Canal Division, Soro",SESCD- 13/01 of 2025-26,2026_CCEAB_127669_1,Yes,National Competitive Bid,Lump-sum,Services,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3446636,OMM GAYATRI TRAVELS,04-Apr-2026 11:30 AM,Rejected-AOC,2ND LOWEST,13-Apr-2026 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC
