S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3343458.0,Rajesh Kumar Mohakud,INR,"5,371,347.23",EO ME CP AE AEE,Internal,,Pranabananda Sahu,24-Apr-2026 01:34 PM,finsummary_573223.pdf (787.17 KB),Municipal Bodies||Balasore Municipality,2025_ORULB_123773_1,BM_07_2025_26,"CONSTRUCTION OF RCC DRAIN FROM SITALA MANDIR TO MCC CENTRE, PURUNA BALASORE IN WARD NO_01 UNDER BALASORE MUNICIPALITY",Technical,Tender opened successfully,Pradeep Kumar Nayak,06-Jan-2026 12:23 PM,,Finance,Tender opened succesfully,Pradeep Kumar Nayak,02-Mar-2026 11:41 AM,,BOQ Comparative Chart,EO ME CP AE AEE,Internal,,Pranabananda Sahu,26-Feb-2026 07:33 PM,27-Feb-2026 11:00 AM,techsummary_573223.pdf (254.34 KB),1,3341491,ASHIS SAHU,04-Jan-2026 06:32 PM,Rejected-Finance,L1,24-Apr-2026 01:34 PM,24-Apr-2026,"INR 5,371,347.23",60.0,Pranabananda Sahu,24-Apr-2026 01:36 PM,WO0701.pdf (805.00 KB),AOC,"Executive Officer, Balasore Municipality","Executive Officer, Balasore Municipality",24-Dec-2025 01:00 PM,06-Jan-2026 11:00 AM,24-Dec-2025 01:00 PM,05-Jan-2026 05:00 PM,NA ,NA ,24-Dec-2025 01:00 PM,05-Jan-2026 05:00 PM,27-Feb-2026 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,DTCN,1.0,Modify,Other,,"63,185",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"CONSTRUCTION OF RCC DRAIN FROM SITALA MANDIR TO MCC CENTRE, PURUNA BALASORE IN WARD NO_01 UNDER BALASORE MUNICIPALITY","CONSTRUCTION OF RCC DRAIN FROM SITALA MANDIR TO MCC CENTRE, PURUNA BALASORE IN WARD NO_01 UNDER BALASORE MUNICIPALITY",Please refer Tender documents. ,NA ,"63,18,489",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,Municipal Bodies||Balasore Municipality,BM_07_2025_26,2025_ORULB_123773_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3344129,JHARANA DAS,04-Jan-2026 06:53 PM,Rejected-Finance,L1,24-Apr-2026 01:34 PM,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3345022,MANOJ KUMAR NAYAK,05-Jan-2026 01:18 PM,Rejected-Finance,L1,24-Apr-2026 01:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3343458,Rajesh Kumar Mohakud,05-Jan-2026 01:48 PM,Accepted-AOC,WO,24-Apr-2026 01:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3344819,RANJIT KUMAR NANDA,05-Jan-2026 02:54 PM,Rejected-Technical,Disqualified,26-Feb-2026 07:33 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3344133,RASHMIREKHA MISHRA,04-Jan-2026 07:36 PM,Rejected-Finance,L1,24-Apr-2026 01:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3344825,SAROJ KUMAR BEHERA,05-Jan-2026 12:40 PM,Rejected-Finance,L1,24-Apr-2026 01:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3344118,SUGANDHA PANIGRAHI,04-Jan-2026 07:13 PM,Rejected-Finance,L1,24-Apr-2026 01:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3336792,SUNIL KUMAR DAS,29-Dec-2025 02:02 PM,Rejected-Finance,L1,24-Apr-2026 01:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3343955,TAPASWINI MOHARANA,04-Jan-2026 01:49 PM,Rejected-Finance,L1,24-Apr-2026 01:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
