Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"4,000",0.0,Nil,Nil,No,"Executive Officer, Rayagada Municipality.",Rayagada Municipality,"8,000",Yes,fixed,,Nil,Nil,"Construction of Paver Block Road at Kandha Tumbiguda infront of Community Hall in ward no-19, under Rayagada Municipality.","Construction of Paver Block Road at Kandha Tumbiguda infront of Community Hall in ward no-19, under Rayagada Municipality.",Please refer Tender documents. ,NA ,"7,23,729",Civil Works - Roads,NA ,Tender,120.0,NA ,Rayagada Munucipality,765001.0,NA ,NA ,NA ,Rayagada Munucipality Office,No ,No,1.0,ICICI BANK,1,Eligibility Criteria ,E01-Bid Cost ,E01-Bid Cost ,,05-Dec-2025 06:30 PM,20-Dec-2025 11:30 AM,05-Dec-2025 06:30 PM,19-Dec-2025 05:30 PM,NA ,NA ,05-Dec-2025 06:30 PM,19-Dec-2025 05:30 PM,Municipal Bodies||Rayagada Municipality,RGDA-MUN-07/2025-26,2025_ORULB_122589_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,CHAIRMAN RAYAGADA MUNICIPALITY,Internal,,BIKRAMADITYA MOHAPATRA,06-Mar-2026 04:51 PM,techsummary_569694.pdf (521.84 KB),CHAIRMAN RAYAGADA MUNICIPALITY,Internal,,BIKRAMADITYA MOHAPATRA,13-Apr-2026 11:14 PM,finsummary_569694.pdf (521.84 KB),Finance,All bidders are admitted,Kuldeep Kumar,13-Jan-2026 08:29 PM,,BOQ Comparative Chart,13-Apr-2026,"INR 615,243",30.0,BIKRAMADITYA MOHAPATRA,13-Apr-2026 11:18 PM,27.pdf (887.00 KB),1.0,3313432.0,GUNTAMUKALA GOWRI SANKAR RAO,18-Dec-2025 11:54 AM,Rejected-Finance,Not qualified in lottery system,13-Apr-2026 11:14 PM,Municipal Bodies||Rayagada Municipality,2025_ORULB_122589_27,RGDA-MUN-07/2025-26,"Construction of Paver Block Road at Kandha Tumbiguda infront of Community Hall in ward no-19, under Rayagada Municipality.",1.0,3316191.0,RAWALA MAJHI,INR,"615,243",AOC
,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2,Eligibility Criteria ,E02-Bid Security ,E02-Bid Security ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3316752.0,NANDA KISHOR PRASAD CHOURASIA,19-Dec-2025 02:41 PM,Rejected-Finance,Not qualified in lottery system,13-Apr-2026 11:14 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Eligibility Criteria ,E04-Registration Certificate ,E04-Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3316943.0,RAINA KADRAKA,19-Dec-2025 02:14 PM,Rejected-Finance,Not qualified in lottery system,13-Apr-2026 11:14 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Eligibility Criteria ,E05-GSTIN ,E05-GSTIN ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3316191.0,RAWALA MAJHI,19-Dec-2025 10:43 AM,Accepted-AOC,at 14.99 percent less,13-Apr-2026 11:18 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Legal Document ,01.PAN ,Parmanent Account No. ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3315911.0,SABITA MISHRA,19-Dec-2025 02:09 AM,Rejected-Finance,Not qualified in lottery system,13-Apr-2026 11:14 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Legal Document ,02.GST ,GSTIN ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3309849.0,SHYAM KUMAR DASH,16-Dec-2025 10:31 PM,Rejected-Finance,Not qualified in lottery system,13-Apr-2026 11:14 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Legal Document ,03.RC ,Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3317730.0,SRI BIDYADHAR PRADHANI,19-Dec-2025 04:31 PM,Rejected-Finance,Not qualified in lottery system,13-Apr-2026 11:14 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Schedule ,01.Schedule-A ,Relationship Certificate ,Schedule-A.pdf,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Schedule ,03.Schedule-E ,Litigation ,Schedule-E.pdf,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Schedule ,04.Schedule-F ,Affidavit ,Schedule-F.pdf,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
