Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Soro Municipality,SOROM_06_2025-26,2025_ORULB_122362_44,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Registration Certificate, PAN Card, PAN Card, Affidavits and as per DTCN","Executive Officer, soro Municipality","Executive Officer, soro Municipality","4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,05-Dec-2025 10:00 AM,16-Dec-2025 10:00 AM,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,NA ,NA ,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,"4,576",Yes,fixed,,Nil,Nil,Construction of CC Drain from SK Malo House to SK Farid House in Ward No.- 12,Construction work,Please refer to the tender document. ,NA ,"4,57,627",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,AOC,"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,06-Apr-2026 09:51 AM,finsummary_569033.pdf (1179.25 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,06-Apr-2026 08:05 AM,techsummary_569033.pdf (1179.25 KB),06-Apr-2026,"INR 389,029.13",90.0,Biswo Ranjan Pradhan,06-Apr-2026 09:54 AM,W44.pdf (871.00 KB),Municipal Bodies||Soro Municipality,2025_ORULB_122362_44,SOROM_06_2025-26,Construction of CC Drain from SK Malo House to SK Farid House in Ward No.- 12,1.0,3303088.0,ARUN KUMAR NAYAK,INR,"389,029.13",1,3303088,ARUN KUMAR NAYAK,15-Dec-2025 01:17 PM,Accepted-AOC,Work order,06-Apr-2026 09:54 AM,Finance,"3 bidders SANTOSH PARIDA L3, JAJATIKESHARI PRADHAN L2 and ARUN KUMAR NAYAK L1 have participated. Hence ARUN KUMAR NAYAK can be accepted as 1st lowest bidder.",Sanjaya Kumar Sena,19-Dec-2025 05:17 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3301618,JAJATIKESHARI PRADHAN,14-Dec-2025 06:08 PM,Rejected-Finance,L2,06-Apr-2026 09:51 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3300858,SANTOSH PARIDA,14-Dec-2025 12:10 PM,Rejected-Finance,L3,06-Apr-2026 09:51 AM,,,,,,,AOC
