EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"4,998",Yes,fixed,,Nil,Nil,Executive Engineer,"O/o the Superintending Engineer, R.W. Division, Anandapur","2,000",0.0,Nil,Nil,No,Periodical Maintenance of RD road via Balisahi Chhak to Bangurusuni road Pot holes repair with PMC and seal coat from 2/550km to 3/000km for the year 2025-26,Periodical Maintenance of RD road via Balisahi Chhak to Bangurusuni road Pot holes repair with PMC and seal coat from 2/550km to 3/000km for the year 2025-26,Please refer tender documents ,NA ,"4,99,872",Civil Works - Roads,NA ,Tender,90.0,10.0,Salapada,758020.0,NA ,NA ,NA ,"RW Division, Anandapur",No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,18/EE/RWD/AND/2025-26,2026_CERWI_127147_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online Tender Cost, EMD, GSTIN, PAN, R.C, Affidavit and Other required Documents as per DTCN",11-Mar-2026 09:00 AM,17-Mar-2026 11:30 AM,11-Mar-2026 09:00 AM,16-Mar-2026 05:00 PM,11-Mar-2026 09:00 AM ,16-Mar-2026 11:00 AM ,11-Mar-2026 09:00 AM,16-Mar-2026 05:00 PM,AOC,06-Apr-2026,"INR 499,872",10.0,Tusar Kanti Behera,13-Apr-2026 07:49 PM,AOCBalisahiB.pdf (232.00 KB),1,3431190,AMULYA MOHANTY,14-Mar-2026 08:50 PM,Accepted-AOC,Won the bid in lottery process as quoted rate of all the bidders are same at a par,13-Apr-2026 07:49 PM,Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,05-Apr-2026 08:27 PM,techsummary_584741.pdf (236.28 KB),Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,06-Apr-2026 06:55 PM,finsummary_584741.pdf (236.27 KB),CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,2026_CERWI_127147_2,18/EE/RWD/AND/2025-26,Periodical Maintenance of RD road via Balisahi Chhak to Bangurusuni road Pot holes repair with PMC and seal coat from 2/550km to 3/000km for the year 2025-26,1.0,3431190.0,AMULYA MOHANTY,INR,"499,872",Finance,34 bidders bid the tender,Gitanjali Chakra,18-Mar-2026 05:12 PM,finance_584741.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,AOC,,,,,,,2,3431501,ANIL KUMAR NAYAK,15-Mar-2026 01:24 PM,Rejected-AOC,do,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3432789,BANSHIDHAR ROUT,16-Mar-2026 01:35 PM,Rejected-AOC,do,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3429080,CHITTARANJAN RANA,12-Mar-2026 08:25 PM,Rejected-AOC,do,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3430745,DIBYARANJAN ROUT,14-Mar-2026 02:05 PM,Rejected-AOC,do,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3428914,GANANATH JENA,12-Mar-2026 05:25 PM,Rejected-AOC,Not win in lottery process,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3430828,GOLAP SAHOO,14-Mar-2026 03:35 PM,Rejected-AOC,do,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3431078,HITESH KUMAR PRUSTY,14-Mar-2026 07:08 PM,Rejected-AOC,do,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3431889,ISWAR CHANDRA ROUTRAY,15-Mar-2026 08:55 PM,Rejected-AOC,do,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3433087,JAGABANDHU JENA,16-Mar-2026 02:43 PM,Rejected-AOC,do,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,11,3429046,JAGANNATH OJHA,12-Mar-2026 07:33 PM,Rejected-AOC,do,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,12,3431417,KALANDI JENA,15-Mar-2026 12:19 PM,Rejected-AOC,do,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,13,3429616,KULAMANI JENA,13-Mar-2026 12:40 PM,Rejected-AOC,do,13-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
