Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Executive Officer, Malkangiri Municipality","Executive Officer, Malkangiri Municipality","7,160",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,eNoticeDTCN,06-Feb-2026 10:00 AM,16-Feb-2026 11:00 AM,06-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,NA ,NA ,06-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,"RCC Drain Cover Plate from Modern English School to 119 Colony, W-14, Malkangiri Municipality","RCC Drain Cover Plate from Modern English School to 119 Colony, W-14, Malkangiri Municipality",Please refer Tender documents. ,NA ,"7,16,197",Civil Works - Others,NA ,Tender,180.0,60.0,Malkangiri Municipality,764045.0,NA ,NA ,NA ,Malkangiri Municipality,No ,No,Municipal Bodies||Malkangiri Municipal Council,EOMKG/02/2025-26,2026_ORULB_125329_30,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Manoj Barik,Internal,,Rajiba Lochan Nayak,23-Apr-2026 12:53 PM,finsummary_579645.pdf (214.46 KB),Manoj Barik,Internal,,Rajiba Lochan Nayak,23-Apr-2026 12:46 PM,techsummary_579645.pdf (214.46 KB),23-Apr-2026,"INR 546,960",30.0,Rajiba Lochan Nayak,23-Apr-2026 12:59 PM,30.pdf (1242.00 KB),1,3393989,BIBEK KUMAR DEURI,12-Feb-2026 06:32 PM,Rejected-AOC,Rejected,23-Apr-2026 12:59 PM,1.0,3394735.0,Prashanta Mandal,INR,"546,960",Municipal Bodies||Malkangiri Municipal Council,2026_ORULB_125329_30,EOMKG/02/2025-26,"RCC Drain Cover Plate from Modern English School to 119 Colony, W-14, Malkangiri Municipality",Finance,Admitted,Rajiba Lochan Nayak,16-Feb-2026 06:24 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3394742,BIKASH HALDAR,13-Feb-2026 02:07 PM,Rejected-AOC,Rejected,23-Apr-2026 12:59 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3394735,Prashanta Mandal,13-Feb-2026 02:21 PM,Accepted-AOC,Accepted,23-Apr-2026 12:59 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3394829,SURENDRA BEMAL,13-Feb-2026 02:13 PM,Rejected-Technical,Rejected,23-Apr-2026 12:46 PM,,,,,,,,,,,,,,,,AOC
