Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Finance,Admitted,DEBADATTA MOHANTY,19-Feb-2026 03:37 PM,,BOQ Comparative Chart,OPEPA Bhubaneswar||Samagra Shiksha Khordha,2026_OPEPA_125406_13,02/CW/SS/2025-26,"Construction of One no. Additional Classroom at Govt Upper Primary School Mukunda Prasad, Khordha",1.0,3399947.0,SUSHIL KUMAR DAS,INR,"1,421,916",1,3395190,BADAJENA CONSTRUCTION,13-Feb-2026 04:42 PM,Rejected-Finance,L2 Rejected,23-Apr-2026 06:00 PM,23-Apr-2026,"INR 1,421,916",180.0,Sonamika Ray,23-Apr-2026 06:10 PM,WorkorderMukundaprasadUPS.pdf (597.00 KB),DPC SS Khordha,Internal,,Sonamika Ray,23-Apr-2026 05:49 PM,techsummary_578948.pdf (599.73 KB),DPC SS Khordha,Internal,,Sonamika Ray,23-Apr-2026 06:00 PM,finsummary_578948.pdf (599.73 KB),AOC,04-Feb-2026 03:00 PM,18-Feb-2026 11:00 AM,04-Feb-2026 03:00 PM,17-Feb-2026 05:00 PM,04-Feb-2026 03:00 PM ,16-Feb-2026 05:00 PM ,04-Feb-2026 03:00 PM,17-Feb-2026 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per DTCN,OPEPA Bhubaneswar||Samagra Shiksha Khordha,02/CW/SS/2025-26,2026_OPEPA_125406_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,"14,291",Yes,percentage,1.0%,Nil,Nil,"Construction of One no. Additional Classroom at Govt Upper Primary School Mukunda Prasad, Khordha","Construction of One no. Additional Classroom at Govt Upper Primary School Mukunda Prasad, Khordha",Please refer Tender documents. ,NA ,"14,29,061",Civil Works - Buildings,NA ,Tender,90.0,180.0,DPO Khurdha,752055.0,NA ,NA ,NA ,DPO Khurdha,No ,No,DPC Khurdha,DPO Khurdha,AOC
,,,,,,,,,,,,,,,2,3399683,BIBHU PRASAD SAHOO,16-Feb-2026 06:56 PM,Rejected-Finance,L2 Rejected,23-Apr-2026 06:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3400424,BIKASH AGRAWALLA,17-Feb-2026 01:11 PM,Rejected-Finance,L2 Rejected,23-Apr-2026 06:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3400348,KAILASH CHANDRA PATTANAIK,17-Feb-2026 12:43 PM,Rejected-Finance,L2 Rejected,23-Apr-2026 06:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3388491,LIAKAT KHAN,09-Feb-2026 06:21 PM,Rejected-Finance,L2 Rejected,23-Apr-2026 06:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3400347,PALISHREE SAMANTARAY,17-Feb-2026 12:43 PM,Rejected-Finance,L2 Rejected,23-Apr-2026 06:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3400352,PANCHANAN BIRABAR JAGDEV RAY,17-Feb-2026 12:59 PM,Rejected-Finance,L2 Rejected,23-Apr-2026 06:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3400687,PURNIMA PARIDA,17-Feb-2026 03:26 PM,Rejected-Finance,L2 Rejected,23-Apr-2026 06:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3398987,RABINDRA KUMAR ROUTARAY,17-Feb-2026 02:45 PM,Rejected-Finance,L2 Rejected,23-Apr-2026 06:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3400138,RAJASHREE CHHOTARAY,17-Feb-2026 11:32 AM,Rejected-Finance,L2 Rejected,23-Apr-2026 06:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
