Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,.,Rajesh Pradhan,27-Apr-2026 08:02 PM,finance_577246.pdf,BOQ Comparative Chart,28-Apr-2026,"INR 1,175,343",60.0,Rajesh Pradhan,28-Apr-2026 07:34 PM,14_19.pdf (366.00 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2026_CERWI_124941_19,14Online)/RWD/BPD/2025-26,S/R to R.D.Road to Khuntapur to Raghupur,1.0,3378589.0,CHANDAN KUMAR RAM,INR,"1,175,343",1,3378589,CHANDAN KUMAR RAM,03-Feb-2026 01:14 PM,Accepted-AOC,Lottery winner,28-Apr-2026 07:34 PM,R.Pradhan,Internal,,Rajesh Pradhan,27-Apr-2026 08:04 PM,techsummary_577246.pdf (323.81 KB),R.Pradhan,Internal,,Rajesh Pradhan,27-Apr-2026 08:07 PM,finsummary_577246.pdf (323.81 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavit and other documents as per DTCN,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,S/R to R.D.Road to Khuntapur to Raghupur,S/R to R.D.Road to Khuntapur to Raghupur,Please refer Tender documents. ,NA ,"11,76,000",Civil Works - Roads,NA ,Tender,90.0,60.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"R.W.Division, Baripada",No ,No,"11,760",Yes,percentage,1.0%,Nil,Nil,22-Jan-2026 03:00 PM,03-Feb-2026 05:30 PM,22-Jan-2026 03:00 PM,03-Feb-2026 05:00 PM,22-Jan-2026 03:00 PM ,03-Feb-2026 03:00 PM ,22-Jan-2026 03:00 PM,03-Feb-2026 05:00 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,14Online)/RWD/BPD/2025-26,2026_CERWI_124941_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,3377305,CHITESWAR BEHERA,02-Feb-2026 04:09 PM,Rejected-AOC,unsuccessful tenderer,28-Apr-2026 07:34 PM,,,,,,,,,,,,,AOC,,,.xls,BoQ,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3378115,MANORANJAN UPADHAYAYA,03-Feb-2026 12:02 PM,Rejected-AOC,unsuccessful tenderer,28-Apr-2026 07:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3376167,NIRUPAMA DASH,02-Feb-2026 06:10 PM,Rejected-AOC,unsuccessful tenderer,28-Apr-2026 07:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3377838,PRADEEP KUMAR MAHANTY,02-Feb-2026 09:08 PM,Rejected-AOC,unsuccessful tenderer,28-Apr-2026 07:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3377197,PRAKASH CHANDRA BEHERA,02-Feb-2026 02:58 PM,Rejected-AOC,unsuccessful tenderer,28-Apr-2026 07:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3378988,PROBIR MARANDI,03-Feb-2026 02:05 PM,Rejected-AOC,unsuccessful tenderer,28-Apr-2026 07:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3377483,SANTOSH KUMAR BEHERA,02-Feb-2026 06:02 PM,Rejected-AOC,unsuccessful tenderer,28-Apr-2026 07:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3376759,SANTOSH KUMAR JENA,02-Feb-2026 12:26 PM,Rejected-AOC,unsuccessful tenderer,28-Apr-2026 07:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3378538,TAPAN KUMAR PAUL,03-Feb-2026 02:40 PM,Rejected-AOC,unsuccessful tenderer,28-Apr-2026 07:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
