Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
02-Apr-2026,"INR 13,936,390",330.0,LAXMAN SAHOO,09-Apr-2026 12:09 PM,Karamdihi50.pdf (280.00 KB),AOC,ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_121904_11,ITDASNG-05/2025-26,Construction of 50 seated PSH building at Karamdihi in Subdega Block,1.0,3288762.0,BHABANI SHANKAR PATEL,INR,"13,936,390",1,3308608,ABDUL HALIM SIDDIQUE,16-Dec-2025 04:24 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,Finance,Tender Status,Sudam Chandra Patel,05-Feb-2026 11:19 AM,finance_566830.pdf,BOQ Comparative Chart,COLLECTOR SUNDARGARH,Internal,"AEE, ITDA, SE, MI Division, PA, ITDA, Sundargarh",LAXMAN SAHOO,02-Feb-2026 06:14 PM,03-Feb-2026 11:00 AM,techsummary_566830.pdf (832.97 KB),Technical,Tender Status,LAXMAN SAHOO,02-Feb-2026 05:58 PM,technical_566830.pdf,COLLECTOR SUNDARGARH,Internal,"AEE, ITDA, SE, MI Division and PA, ITDA, Sundargarh",LAXMAN SAHOO,13-Feb-2026 06:39 PM,finsummary_566830.pdf (860.89 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"Liscence, pancard, GSTIN, Affidavits and other documents as per DTCN","10,000",0.0,Nil,Nil,No,Project Administrartor,ITDA Sundargarh,1.0,ICICI BANK,"1,63,938",Yes,fixed,,Nil,Nil,28-Nov-2025 11:00 AM,17-Dec-2025 11:00 AM,28-Nov-2025 11:00 AM,16-Dec-2025 05:00 PM,NA ,NA ,28-Nov-2025 11:00 AM,16-Dec-2025 05:00 PM,03-Feb-2026 11:00 AM,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-05/2025-26,2025_STSCD_121904_11,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of 50 seated PSH building at Karamdihi in Subdega Block,Construction of 50 seated PSH building at Karamdihi in Subdega Block,Please refer Tender documents. ,NA ,"1,63,93,824",Civil Works - Buildings,NA ,Tender,90.0,330.0,Sundargarh,770001.0,NA ,NA ,NA ,ITDA Sundargarh,No ,No,AOC
,,,,,,,,,,,,,,,,2,3295264,ADARSH CONSTRUCTION PROP.ADARSH AGARWAL,11-Dec-2025 01:50 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3304898,ANIL KUMAR PUJARI,16-Dec-2025 03:31 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3299112,ARIA INFRA PROJECTS PRIVATE LIMITED,13-Dec-2025 09:39 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3288762,BHABANI SHANKAR PATEL,11-Dec-2025 09:06 PM,Accepted-AOC,1st lowest in lottery,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3305369,BIKRAM PATEL,16-Dec-2025 01:24 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3287115,DIBYA SHANKAR BEHERA,16-Dec-2025 12:49 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3306929,DILIP KUMAR PATEL,16-Dec-2025 12:49 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3304691,MINAKETAN GARDIA,16-Dec-2025 10:46 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3306071,PRABIR KUMAR SAMAL,16-Dec-2025 10:01 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,3301517,PRITAM PRATAP NAIK,15-Dec-2025 11:24 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,3307889,PRIYA RANJAN PATTNAIK,16-Dec-2025 02:42 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,3284593,PURNA CHANDRA SWAIN,14-Dec-2025 06:04 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,3279842,RAJ KISHORE BHATTACHARYA,05-Dec-2025 09:47 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,3300644,RIGAN KUMAR PATEL,14-Dec-2025 01:06 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,3305373,ROHIT MEHER,16-Dec-2025 11:24 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,17,3307010,SUBHADRARANI BISWAL,16-Dec-2025 12:44 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
