EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"32,960",Yes,fixed,,Nil,Nil,"8,000",0.0,Nil,Nil,No,EXECUTIVE OFFICER,NAC BALLIGUDA,1.0,ICICI BANK,Municipal Bodies||Balliguda N.A.C,EO_BLG.N_07_2025-26,2026_ORULB_127198_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,AS PER DTCN,Improvement of KalyanMandap near KoliChhak Ward No.9 of NAC Balliguda,Improvement of KalyanMandap near KoliChhak Ward No.9 of NAC Balliguda,Please refer Tender documents. ,NA ,"32,96,095",Civil Works - Buildings,NA ,Tender,90.0,60.0,NAC BALLIGUDA,762103.0,NA ,NA ,NA ,NAC BALLIGUDA,No ,No,13-Mar-2026 01:00 PM,24-Mar-2026 11:30 AM,13-Mar-2026 01:00 PM,23-Mar-2026 05:00 PM,NA ,NA ,13-Mar-2026 01:00 PM,23-Mar-2026 05:00 PM,AOC,15-Apr-2026,"INR 3,235,712",60.0,Bibekanand Dalai,15-Apr-2026 01:05 PM,1.pdf (482.00 KB),1,3438335,MAMATA BEHERA,22-Mar-2026 01:29 PM,Rejected-AOC,Rejected,15-Apr-2026 01:06 PM,Gobinda Chandra Pradhan,Internal,Executive Officer Municipal Engineer Asst Executive Engineer Asst EngineerTechnical Consultant Accountant,Bibekanand Dalai,15-Apr-2026 09:34 AM,techsummary_584882.pdf (363.26 KB),Municipal Bodies||Balliguda N.A.C,2026_ORULB_127198_1,EO_BLG.N_07_2025-26,Improvement of KalyanMandap near KoliChhak Ward No.9 of NAC Balliguda,Gobinda Chandra Pradhan,Internal,Executive Officer Municipal Engineer Asst Executive Engineer Asst Engineer Technical Consultant Accountant,Bibekanand Dalai,15-Apr-2026 12:12 PM,finsummary_584882.pdf (363.26 KB),Finance,All documents are Ok,Bibekanand Dalai,25-Mar-2026 01:32 PM,finance_584882.pdf,BOQ Comparative Chart,1.0,3438780.0,SURAJ KUMAR SAHU,INR,"3,235,712",AOC
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3437384,MINATI BEHERA,20-Mar-2026 06:18 PM,Rejected-AOC,Rejected,15-Apr-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3438872,M/S KANYAKA PARAMESWARI ASSOCIATES,23-Mar-2026 01:16 PM,Rejected-AOC,Rejected,15-Apr-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3439267,M/S NIMRAD DIGAL,23-Mar-2026 03:16 PM,Rejected-AOC,Rejected,15-Apr-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3438754,M/S SANJUKTA SAHU,23-Mar-2026 09:58 AM,Rejected-AOC,Rejected,15-Apr-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3438968,PINTU NAYAK,23-Mar-2026 12:55 PM,Rejected-AOC,Rejected,15-Apr-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3439341,RANJIT KUMAR PATRA,23-Mar-2026 04:08 PM,Rejected-AOC,Rejected,15-Apr-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3439417,SASWAT KUMAR PRADHAN,23-Mar-2026 04:36 PM,Rejected-AOC,Rejected,15-Apr-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3438817,SORAJ KUMAR BEHERA,23-Mar-2026 12:50 PM,Rejected-AOC,Rejected,15-Apr-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3438153,SUPRA SUCHISMITA MISHRA,21-Mar-2026 10:43 PM,Rejected-AOC,Rejected,15-Apr-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
