Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"4,000",0.0,Nil,Nil,No,09-Feb-2026 06:00 PM,17-Feb-2026 11:30 AM,09-Feb-2026 06:00 PM,16-Feb-2026 05:00 PM,09-Feb-2026 06:00 PM ,15-Feb-2026 05:00 PM ,09-Feb-2026 06:00 PM,16-Feb-2026 05:00 PM,SERWD Rairangpur,SERWD Rairangpur,1.0,Fee/PreQual/Technical/Finance,.pdf,tender documents as per DTCN,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RWDRRP-26/25-26,2026_CERWI_125768_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Periodical maint of Andharjhari to Allahpani Road for the year 2025-26,Periodical maint of Andharjhari to Allahpani Road for the year 2025-26,Please refer Tender documents. ,NA ,"8,22,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Rairangpur,757043.0,NA ,NA ,NA ,SERWD Rairangpur,No ,No,"8,220",Yes,percentage,1.0%,Nil,Nil,AOC,Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,29-Apr-2026 12:38 PM,finsummary_580421.pdf (537.74 KB),Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,29-Apr-2026 12:35 PM,techsummary_580421.pdf (537.74 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2026_CERWI_125768_16,RWDRRP-26/25-26,Periodical maint of Andharjhari to Allahpani Road for the year 2025-26,1.0,3395943.0,JAY GOPAL GIRI,INR,"817,803",1,3397163,ANITA RANI GIRI,15-Feb-2026 07:11 PM,Rejected-AOC,Lottery,29-Apr-2026 12:46 PM,29-Apr-2026,"INR 817,803",30.0,Sanjeet Kumar Naik,29-Apr-2026 12:46 PM,1497.pdf (538.00 KB),Finance,open,Sanjeet Kumar Naik,29-Apr-2026 11:07 AM,finance_580421.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3395627,ANTARYAMI MOHAPATRA,14-Feb-2026 12:39 PM,Rejected-AOC,Lottery,29-Apr-2026 12:46 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3399281,ASHISH KUMAR NANDA,16-Feb-2026 04:18 PM,Rejected-AOC,Lottery,29-Apr-2026 12:46 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3396978,DILLIP KUMAR MOHANTA,15-Feb-2026 04:40 PM,Rejected-AOC,Lottery,29-Apr-2026 12:46 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3398254,DIPTIRANI RAY,16-Feb-2026 04:23 PM,Rejected-AOC,Lottery,29-Apr-2026 12:46 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3395943,JAY GOPAL GIRI,14-Feb-2026 07:53 PM,Accepted-AOC,Lottery winner,29-Apr-2026 12:46 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3398048,LALTU MOHANTA,16-Feb-2026 12:14 PM,Rejected-AOC,Lottery,29-Apr-2026 12:46 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3394960,PADMALOCHAN MOHANTA,13-Feb-2026 02:21 PM,Rejected-AOC,Lottery,29-Apr-2026 12:46 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3399091,RABINDRA NATH MOHANTA,16-Feb-2026 03:46 PM,Rejected-AOC,Lottery,29-Apr-2026 12:46 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3397333,SANGITA ROUT,15-Feb-2026 08:21 PM,Rejected-AOC,Lottery,29-Apr-2026 12:46 PM,,,,,,,,,,,,,AOC
