Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
DH Electrical,Internal,"Divisional Head(Elect.), Dy. Manager(Elect.) Elect. Divn., Dy. Manager (Fin.) Elect. Divn., Electrical Engineer",Rakesh Kumar Sahu,27-Feb-2026 05:00 PM,27-Feb-2026 05:25 PM,techsummary_581008.pdf (1411.15 KB),IDCO||IDCO||IDCO,2026_IDCO_125947_1,BBSR/ELECT/e-150/2025-26,"CONSTRUCTION OF 11 KV LINE TO PROVIDE POWER SUPPLY TO UPCOMING INDUSTRIES AT GOTHAPATNA I.E., BHUBANESWAR.",1.0,3402632.0,M/S S. R. ENGINEERS AND CONSTRUCTION,INR,"4,454,505",Finance,The financial bid opening of 5 nos technically qualified bidders are opened within stipulated date and time.,Rakesh Kumar Sahu,18-Apr-2026 11:56 AM,,BOQ Comparative Chart,1,3407043,AADYA URJA SOLUTIONS PRIVATE LIMITED,21-Feb-2026 04:55 PM,Rejected-AOC,L2,18-Apr-2026 12:20 PM,Technical,Technical Bid opened of 5 Nos. participated Bidder which was submitted within stipulated date and time.,Rakesh Kumar Sahu,27-Feb-2026 04:50 PM,,18-Apr-2026,"INR 4,454,505",180.0,Rakesh Kumar Sahu,18-Apr-2026 12:19 PM,AOC.pdf (2896.00 KB),DH Electrical,Internal,"Divisional Head (Elect.), Dy. Manager (Elect.) Elect. Divn., Dy. Manager (Fin.) Elect. Divn., Electrical Engineer",Rakesh Kumar Sahu,18-Apr-2026 12:06 PM,finsummary_581008.pdf (390.59 KB),AOC,"Divisional Head, Electrical Division, IDCO","Divisional Head, Electrical Division, IDCO, 8th Floor, IDCO Tower, Janpath, Bhubaneswar",12-Feb-2026 05:00 PM,23-Feb-2026 11:00 AM,12-Feb-2026 05:00 PM,21-Feb-2026 05:00 PM,NA ,NA ,12-Feb-2026 05:00 PM,21-Feb-2026 05:00 PM,27-Feb-2026 05:25 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Valid Electrical HT Contractors License issued by ELBO with similar nature of work, PAN Card","CONSTRUCTION OF 11 KV LINE TO PROVIDE POWER SUPPLY TO UPCOMING INDUSTRIES AT GOTHAPATNA I.E., BHUBANESWAR.","CONSTRUCTION OF 11 KV LINE TO PROVIDE POWER SUPPLY TO UPCOMING INDUSTRIES AT GOTHAPATNA I.E., BHUBANESWAR.",Please refer Tender documents. ,NA ,"50,61,938",Electrical Works,NA ,Tender,180.0,180.0,GOTHAPATANA I.E.,751003.0,NA ,NA ,NA ,"Divisional Head, Electrical Division, IDCO",No ,No,IDCO||IDCO||IDCO,BBSR/ELECT/e-150/2025-26,2026_IDCO_125947_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"51,000",No,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3406095,M/S. M.C.C. ASSOCIATES,21-Feb-2026 04:34 PM,Rejected-AOC,L2,18-Apr-2026 12:20 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"RC, GST Registration Certificate, EPF, EPF Latest Challan and all other documents as per the DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3402632,M/S S. R. ENGINEERS AND CONSTRUCTION,18-Feb-2026 04:02 PM,Accepted-AOC,L1,18-Apr-2026 12:20 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3406399,PANCHANAN SAHOO,21-Feb-2026 10:52 AM,Rejected-AOC,L2,18-Apr-2026 12:20 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3399071,T.RABIN KUMAR PATRO,21-Feb-2026 12:28 PM,Rejected-AOC,L2,18-Apr-2026 12:20 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
