S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3358843.0,RATNAKAR NAIK,INR,"5,434,008",SE,Internal,,Kapileswar Singh,06-Apr-2026 07:04 PM,finsummary_575939.pdf (695.90 KB),CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR,2026_CERWI_124615_2,NCB 17 OF 2025-26,Periodical Maintenance to Paitamaja to Palsapada from ch 0/000 to 3/408 for the year 2025- 26.,Technical,COVER1,Kapileswar Singh,05-Feb-2026 10:56 AM,technical_575939.pdf,Finance,COVER1,Sanjukta Marndi,20-Feb-2026 12:36 PM,finance_575939.pdf,BOQ Comparative Chart,SE,Internal,,Kapileswar Singh,05-Feb-2026 10:58 AM,06-Feb-2026 05:00 PM,techsummary_575939.pdf (570.92 KB),06-Apr-2026,"INR 5,434,008",30.0,Kapileswar Singh,06-Apr-2026 07:11 PM,PAITAMAJA_PALASPADA.pdf (696.00 KB),1,3361698,BASANTA KUMAR KANDI,20-Jan-2026 04:33 PM,Rejected-AOC,REJECTED,06-Apr-2026 07:11 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,"RC, PAN, GST AFFIDAVIT AND AS PER ANNEXURE",Periodical Maintenance to Paitamaja to Palsapada from ch 0/000 to 3/408 for the year 2025- 26.,Periodical Maintenance to Paitamaja to Palsapada from ch 0/000 to 3/408 for the year 2025- 26.,Please refer Tender documents. ,NA ,"54,34,000",Civil Works - Roads,NA ,Tender,90.0,30.0,KEONJHAR,758001.0,NA ,NA ,NA ,"R.W DIVISION-I,KEONJHAR",No ,No,15-Jan-2026 05:00 PM,21-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,20-Jan-2026 05:00 PM,15-Jan-2026 05:00 PM ,19-Jan-2026 05:00 PM ,15-Jan-2026 05:00 PM,20-Jan-2026 05:00 PM,06-Feb-2026 05:00 PM,"54,340",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR,NCB 17 OF 2025-26,2026_CERWI_124615_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,At-Gambharia Po-DD College Near Dairy Farm Keonjhar,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3360536,Purna Chandra Behera,19-Jan-2026 09:31 PM,Rejected-AOC,REJECTED,06-Apr-2026 07:11 PM,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3358843,RATNAKAR NAIK,20-Jan-2026 02:01 PM,Accepted-AOC,ACCEPTED,06-Apr-2026 07:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
