Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Construction of RCC trough from RD 1050M to RD 1635M to Bhalumunda Sub Minor off taking at RD 34730m of Left Main Canal of Lower Indra Irrigation Project,Construction of RCC trough from RD 1050M to RD 1635M to Bhalumunda Sub Minor off taking at RD 34730m of Left Main Canal of Lower Indra Irrigation Project,Please refer Tender Doc ,NA ,"31,37,710",Civil Works - Canal,Improvement of Canal ,Rate Contract,90.0,60.0,Bangomunda,767040.0,NA ,NA ,NA ,"O/o the SE, L.I.Canal Division No-III, Bangomunda",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, RC, Affidavit, GST, PAN, NRC, Litigation Certificate and other doc as per Bid Doc.",1.0,ICICI BANK,23-Feb-2026 10:00 AM,06-Mar-2026 11:00 AM,23-Feb-2026 10:00 AM,05-Mar-2026 05:00 PM,23-Feb-2026 10:00 AM ,28-Feb-2026 05:00 PM ,23-Feb-2026 10:00 AM,05-Mar-2026 05:00 PM,"6,000",Nil,Nil,No,"SE, L.I.Canal Division No-III, Bangomunda","O/o the SE, L.I.Canal Division No-III, Bangomunda",CCE Lower Indra Irr. Project Nuapada||CCE LIP||EE Lower Indra Canal Divn. Khariar,SELICDIII-02 of 2025-26,2026_CCELI_126417_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"31,400",Yes,fixed,,Nil,Nil,AOC,CCE Lower Indra Irr. Project Nuapada||CCE LIP||EE Lower Indra Canal Divn. Khariar,2026_CCELI_126417_4,SELICDIII-02 of 2025-26,Construction of RCC trough from RD 1050M to RD 1635M to Bhalumunda Sub Minor off taking at RD 34730m of Left Main Canal of Lower Indra Irrigation Project,SE,Internal,"DAO,ESTIMATOR,SDO",SOUMYA KISHORE JAIPURIA,21-Apr-2026 12:42 PM,finsummary_582352.pdf (1139.50 KB),Finance,Bid opening Summary,SOUMYA KISHORE JAIPURIA,21-Apr-2026 10:38 AM,,BOQ Comparative Chart,1.0,3420627.0,RAJESH KUMAR JAIN,INR,"3,134,572",21-Apr-2026,"INR 3,134,572",60.0,SOUMYA KISHORE JAIPURIA,21-Apr-2026 02:37 PM,AGREEMENTBHALUMUNDA.pdf (749.00 KB),"SUCCESSFUL BIDDER IN LOTTERY DRAWN ON DATED 17.03.2026,DATE OF COMMENCEMENT 02.04.2026 AND DATE OF COMPLETION 01.06.2026",1,3415440,Abhimanyu Kuanr,03-Mar-2026 07:31 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN LOTTERY DRAWN ON DATED 17.03.2026,21-Apr-2026 12:42 PM,SE,Internal,"DAO,ESTIMATOR,SDO",SOUMYA KISHORE JAIPURIA,21-Apr-2026 12:31 PM,techsummary_582352.pdf (3732.52 KB),AOC
,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3419358,ABIR INFRA,05-Mar-2026 02:02 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN LOTTERY DRAWN ON DATED 17.03.2026,21-Apr-2026 12:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3420005,ADHYAN INFRA,05-Mar-2026 02:44 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN LOTTERY DRAWN ON DATED 17.03.2026,21-Apr-2026 12:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3418615,AMAN BANSAL,04-Mar-2026 07:45 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN LOTTERY DRAWN ON DATED 17.03.2026,21-Apr-2026 12:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3419406,Amit Agrawal,05-Mar-2026 04:02 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN LOTTERY DRAWN ON DATED 17.03.2026,21-Apr-2026 12:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3419256,ANKIT AGRAWAL,05-Mar-2026 10:34 AM,Rejected-Finance,UNSUCCESSFUL BIDDER IN LOTTERY DRAWN ON DATED 17.03.2026,21-Apr-2026 12:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3420601,ANKIT KUMAR AGRAWAL,05-Mar-2026 04:53 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN LOTTERY DRAWN ON DATED 17.03.2026,21-Apr-2026 12:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3416894,Ankit Sharma,02-Mar-2026 05:34 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN LOTTERY DRAWN ON DATED 17.03.2026,21-Apr-2026 12:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3416143,ARYA INFRASTRCTURE,02-Mar-2026 12:08 PM,Rejected-Finance,UNSUCCESSFUL BIDDER IN LOTTERY DRAWN ON DATED 17.03.2026,21-Apr-2026 12:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3411606,AYUSH MEHER,05-Mar-2026 09:45 AM,Rejected-Finance,UNSUCCESSFUL BIDDER IN LOTTERY DRAWN ON DATED 17.03.2026,21-Apr-2026 12:42 PM,,,,,,,AOC
