Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,PLAN AND ELEVATION,Technical Bid,,Const. of Integrated Subhadra Shakti Bazar with Kendra at Bhadrak,Building Work,Please refer Tender documents. ,NA ,"3,86,47,121",Civil Works - Buildings,NA ,Tender,90.0,365.0,Bhadrak,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,ICICI BANK,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,Orissa State Police Housing and Welfare Corporation Ltd,28/OPHWC/2025-26,2026_OSPHW_126675_9,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"3,86,500",Yes,fixed,,Nil,Nil,26-Feb-2026 06:55 PM,16-Mar-2026 10:30 AM,26-Feb-2026 06:55 PM,13-Mar-2026 05:00 PM,NA ,NA ,26-Feb-2026 06:55 PM,13-Mar-2026 05:00 PM,09-Apr-2026 10:30 AM,"11,800",0.0,Nil,Nil,No,AOC,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,30-Apr-2026 12:04 PM,finsummary_583291.pdf (360.28 KB),Orissa State Police Housing and Welfare Corporation Ltd,2026_OSPHW_126675_9,28/OPHWC/2025-26,Const. of Integrated Subhadra Shakti Bazar with Kendra at Bhadrak,Technical,3 Nos. of bidders have been participated.,MONALISHA PADHY,16-Mar-2026 11:57 AM,,1.0,3429215.0,PRITESH KUMAR JENA,INR,"30,921,562",30-Apr-2026,"INR 30,921,562",365.0,Bikram Keshari Malla,30-Apr-2026 12:06 PM,BHADRAK.pdf (74.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 23.04.2026,1,3429594,NIRAKAR SAMAL,13-Mar-2026 12:25 PM,Rejected-Finance,DUE TO L2 BIDDER,30-Apr-2026 12:04 PM,Finance,FINANCE BID OPENED.,LAXMIPRIYA NAYAK,09-Apr-2026 12:15 PM,,BOQ Comparative Chart,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,08-Apr-2026 06:41 PM,09-Apr-2026 10:30 AM,techsummary_583291.pdf (325.44 KB),AOC
,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3429215,PRITESH KUMAR JENA,12-Mar-2026 10:55 PM,Accepted-AOC,QUALIFIED BIDDER,30-Apr-2026 12:07 PM,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3429583,SANISCHARA CONSTRUCTION PRIVATE LIMITED,13-Mar-2026 01:30 PM,Rejected-Technical,Non submission of Sch G as per DTCN Cl. 12 and 110(j) and valid Fire fighting MOU as per DTCN Cl. No. 10(vi) and 110(i).,08-Apr-2026 06:41 PM,,,,,,,,,,,,,,AOC
