Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
28-Nov-2025 11:00 AM,17-Dec-2025 11:00 AM,28-Nov-2025 11:00 AM,16-Dec-2025 05:00 PM,NA ,NA ,28-Nov-2025 11:00 AM,16-Dec-2025 05:00 PM,03-Feb-2026 11:00 AM,1.0,ICICI BANK,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-05/2025-26,2025_STSCD_121904_8,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of 50 seated PSH building at Telipali in Tangarpali Block,Construction of 50 seated PSH building at Telipali in Tangarpali Block,Please refer Tender documents. ,NA ,"1,63,92,984",Civil Works - Buildings,NA ,Tender,90.0,330.0,Sundargarh,770001.0,NA ,NA ,NA ,ITDA Sundargarh,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Liscence, pancard, GSTIN, Affidavits and other documents as per DTCN","10,000",0.0,Nil,Nil,No,Project Administrartor,ITDA Sundargarh,"1,63,930",Yes,fixed,,Nil,Nil,AOC,COLLECTOR SUNDARGARH,Internal,"PA, ITDA, Sundargarh, AEE, ITDA, Sundargarh and SE, MI Division, Sundargarh",LAXMAN SAHOO,09-Mar-2026 11:57 AM,finsummary_566815.pdf (631.02 KB),Technical,Tender Status,LAXMAN SAHOO,02-Feb-2026 06:01 PM,technical_566815.pdf,ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_121904_8,ITDASNG-05/2025-26,Construction of 50 seated PSH building at Telipali in Tangarpali Block,1.0,3288726.0,BHABANI SHANKAR PATEL,INR,"13,935,675",1,3304877,ANIL KUMAR PUJARI,16-Dec-2025 03:29 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:25 PM,02-Apr-2026,"INR 13,935,675",330.0,LAXMAN SAHOO,09-Apr-2026 12:25 PM,Telipali50.pdf (330.00 KB),AOC,Finance,Tender Status,Sudam Chandra Patel,04-Feb-2026 12:05 PM,finance_566815.pdf,BOQ Comparative Chart,COLLECTOR SUNDARGARH,Internal,"AEE, ITDA, SE, MI Division, PA, ITDA, Sundargarh",LAXMAN SAHOO,02-Feb-2026 06:10 PM,03-Feb-2026 11:00 AM,techsummary_566815.pdf (577.39 KB),AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3298235,ARIA INFRA PROJECTS PRIVATE LIMITED,12-Dec-2025 04:42 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:25 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3288726,BHABANI SHANKAR PATEL,11-Dec-2025 08:56 PM,Accepted-AOC,1st lowest in lottery,09-Apr-2026 12:25 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3308719,DEEPANJALI MARNDI,16-Dec-2025 04:36 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:25 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3287063,DIBYA SHANKAR BEHERA,16-Dec-2025 12:45 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:25 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3304684,MINAKETAN GARDIA,16-Dec-2025 10:43 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:25 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3308834,MOHIT PATEL,16-Dec-2025 04:57 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:25 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3301475,PRITAM PRATAP NAIK,14-Dec-2025 05:00 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:25 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3307803,PRIYA RANJAN PATTNAIK,16-Dec-2025 02:44 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:25 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3284590,PURNA CHANDRA SWAIN,14-Dec-2025 06:03 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:25 PM,,,,,,,,,,,,,,,,,,,,,AOC
