S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3358274.0,Biswanath Patra,INR,"752,057",Finance,13 bidder participated and admitted for Technical Evaluation,Pabitra Mohan Pradhan,26-Jan-2026 07:24 PM,,BOQ Comparative Chart,CHAIRPERSON,Internal,"CM,EO,ME,AE,ACCT",Satya Narayan Pradhan,10-Apr-2026 06:51 PM,finsummary_573543.pdf (828.36 KB),Municipal Bodies||Boudhgarh NAC,2025_ORULB_123920_4,OR/ULB/BUD/8/2025-26,Construction of Cold Drinking water Project near Marjakud Chowk in ward No 13,CHAIRPERSON,Internal,"CM,EO,ME,AE,ACCT",Satya Narayan Pradhan,10-Apr-2026 05:45 PM,techsummary_573543.pdf (828.36 KB),1,3358169,Amit Bansal,17-Jan-2026 01:36 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,11-Apr-2026,"INR 752,057",90.0,Satya Narayan Pradhan,11-Apr-2026 11:03 AM,5.pdf (576.00 KB),AS PER LOTTERY,AOC,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,1.0,ICICI BANK,31-Dec-2025 10:00 AM,19-Jan-2026 11:00 AM,31-Dec-2025 10:00 AM,17-Jan-2026 05:00 PM,NA ,NA ,31-Dec-2025 10:00 AM,17-Jan-2026 05:00 PM,1.0,DATE MODIFICATION,Date,,Executive Officer NAC Boudhgarh,Executive Officer NAC Boudhgarh,"7,528",Yes,fixed,,Nil,Nil,Municipal Bodies||Boudhgarh NAC,OR/ULB/BUD/8/2025-26,2025_ORULB_123920_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Cold Drinking water Project near Marjakud Chowk in ward No 13,CONST OF COLD DRINKING WATER PROJECT,Please refer Tender documents. ,NA ,"7,52,809",Civil Works - Buildings,NA ,Tender,90.0,NA ,NAC Boudhgarh,762014.0,NA ,NA ,NA ,Executive Officer NAC Boudhgarh,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3358293,ASHUTOSH MAHAPATRA,17-Jan-2026 03:30 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,.pdf,DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,2.0,DEPOSIT OF APS,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3358274,Biswanath Patra,17-Jan-2026 03:48 PM,Accepted-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3358021,CHANDRAKANTI DHAL,17-Jan-2026 11:29 AM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3356486,DHARMESH KUMAR NAYAK,15-Jan-2026 07:45 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3357920,GOBINDA MEHER,16-Jan-2026 09:58 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3356950,JAGANATH MISHRA,16-Jan-2026 11:53 AM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3357840,Kalyani Sahu,16-Jan-2026 09:39 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3358026,LIPINA SAHOO,17-Jan-2026 11:18 AM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3355400,Manoj Kumar sahoo,15-Jan-2026 01:22 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3358269,RAJESH KARNA,17-Jan-2026 03:37 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3358236,RINARANI MEHER,17-Jan-2026 02:57 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3357855,SANTOSH KUMAR PANDA,16-Jan-2026 07:29 PM,Rejected-AOC,AS PER LOTTERY,11-Apr-2026 11:03 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
