S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,1st corrigendum,Other,,1,ICICI BANK,PHEO||PH Circle Bhawanipatna||PH Division Koraput,NIT No.11 of 2025-26 ACE,2025_PHEO_123236_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"4,13,537",Yes,percentage,1.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,DTCN,"Superintending Engineer, PHD Koraput","Superintending Engineer, PHD Koraput",18-Dec-2025 04:30 PM,31-Dec-2025 11:00 AM,18-Dec-2025 04:30 PM,30-Dec-2025 05:00 PM,18-Dec-2025 04:30 PM ,29-Dec-2025 05:00 PM ,18-Dec-2025 04:30 PM,30-Dec-2025 05:00 PM,13-Jan-2026 06:15 PM,"Automation of 6 MLD WTP, Zonal reservoir and other ancillary works of Umerkote Municipality under State Plan, D.No.13-4215 SUJALA for the Year 2025-26","Automation of 6 MLD WTP, Zonal reservoir and other ancillary works of Umerkote Municipality",Please refer Tender documents. ,NA ,"4,13,53,718",Civil Works - Water Works,NA ,Rate Contract,120.0,180.0,Umerkote,764073.0,NA ,NA ,NA ,"Superintending Engineer, PHD Koraput",No ,No,AOC,"SE, PHD Koraput",Internal,"SE, AEE, DAO and AEE estimator under this division",Chiranjibi Mahali,15-Apr-2026 11:46 AM,finsummary_571752.pdf (336.53 KB),15-Apr-2026,"INR 37,222,482",180.0,Chiranjibi Mahali,15-Apr-2026 11:48 AM,aoc.pdf (1949.00 KB),AOC,Finance,2nos bidders are admitted,Chiranjibi Mahali,15-Apr-2026 11:42 AM,finance_571752.pdf,BOQ Comparative Chart,Technical,2nos bidders are participating and all documents downloaded,Chiranjibi Mahali,31-Dec-2025 04:20 PM,technical_571752.pdf,1,3335657,M/S SABITA ENTERPRISES,30-Dec-2025 04:28 PM,Accepted-AOC,AOC,15-Apr-2026 11:49 AM,1.0,3335657.0,M/S SABITA ENTERPRISES,INR,"37,222,482",PHEO||PH Circle Bhawanipatna||PH Division Koraput,2025_PHEO_123236_4,NIT No.11 of 2025-26 ACE,"Automation of 6 MLD WTP, Zonal reservoir and other ancillary works of Umerkote Municipality under State Plan, D.No.13-4215 SUJALA for the Year 2025-26","Superintending Engineer, PHD Koraput",Internal,"SE, AEE, DAO and AEE Estimator under this division",Chiranjibi Mahali,13-Jan-2026 06:06 PM,13-Jan-2026 06:15 PM,techsummary_571752.pdf (742.64 KB),AOC
,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3338152,SUVENDU DAS,29-Dec-2025 06:37 PM,Rejected-Finance,2nd rank,15-Apr-2026 11:46 AM,,,,,,,,,,,,,,,,,AOC
