S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3381269.0,ANITA AGRAWAL,INR,"1,269,942",Finance,32 Nos bid opened,Manik Kumbhar,10-Feb-2026 11:20 AM,finance_577574.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Executive Engineer,DAO, EST",Bebisuta Sahu,29-Apr-2026 01:58 PM,finsummary_577574.pdf (1107.28 KB),CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2026_CERWI_125023_5,EEPTNG-online-18/2025-26,Special Repair of P.S Building at Belpada for the year 2025-26,Executive Engineer,Internal,"Executive Engineer,DAO ,EST",Bebisuta Sahu,29-Apr-2026 01:49 PM,techsummary_577574.pdf (1107.28 KB),29-Apr-2026,"INR 1,269,942",30.0,Bebisuta Sahu,29-Apr-2026 02:02 PM,2.pdf (419.00 KB),1,3382071,AGRAWAL STORES,05-Feb-2026 02:07 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,"12,710",Yes,fixed,,Nil,Nil,Special Repair of P.S Building at Belpada for the year 2025-26,Special Repair of P.S Building at Belpada for the year 2025-26,Please refer Tender documents. ,NA ,"12,71,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Superintending Engineer, R.W.D, Patnagarh",No ,No,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-18/2025-26,2026_CERWI_125023_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer, R.W.Division,Patnagarh","O/o the Superintending Engineer, R.W.D, Patnagarh",1.0,ICICI BANK,23-Jan-2026 05:00 PM,06-Feb-2026 11:00 AM,23-Jan-2026 05:00 PM,05-Feb-2026 05:00 PM,23-Jan-2026 05:00 PM ,04-Feb-2026 05:00 PM ,23-Jan-2026 05:00 PM,05-Feb-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"DD, EMD, R.C, PAN, GSTIN, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN","6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3380677,AKASH KUMAR JAIN,04-Feb-2026 02:26 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3377299,ANANTA KUMAR PANIGRAHI,02-Feb-2026 03:49 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3381269,ANITA AGRAWAL,05-Feb-2026 10:12 AM,Accepted-AOC,SUCESSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 02:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3377458,ARAKSHITA SAHU,02-Feb-2026 04:53 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3376441,ASHOK KUMAR PANDEY,02-Feb-2026 09:07 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3376590,DHANANJAYA PADHAN,05-Feb-2026 01:01 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3378381,DILLIP KUMAR BISWAL,03-Feb-2026 12:02 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3381788,DOSALIN MISHRA,05-Feb-2026 01:10 PM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3380450,DURYODHAN BARIK,05-Feb-2026 09:48 AM,Rejected-Finance,UNSUCESSSFULL BIDDER IN LOTTERY SYSTEM,29-Apr-2026 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
