Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Development to B.singhpur Podapadar Minor Service Road of TMIP,Canal Structural Works,Please refer Tender documents. ,NA ,"12,73,408",Civil Works - Canal,NA ,Tender,90.0,30.0,Ambaguda,764055.0,NA ,NA ,NA ,"Office of SE,Telengiri Canal Division Ambaguda",No ,No,1.0,ICICI BANK,17-Mar-2026 10:00 AM,23-Mar-2026 04:00 PM,17-Mar-2026 10:00 AM,23-Mar-2026 03:00 PM,NA ,NA ,17-Mar-2026 10:00 AM,23-Mar-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"AFFIDAVIT, GSTIN, REGISTRATION CERTIFICATE AND ALL OTHER DOCUMENT AS PER DTCN","6,000",Nil,Nil,No,CE AND BM IK BASIN BARINIPUT JEYPORE,SETCD-06/25-26 (II),2026_IKBBJ_127056_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Superintending Engineer,Telengiri Canal","Office of Superintending Engineer,Telengiri Canal Division Ambaguda","12,800",Yes,fixed,,Nil,Nil,AOC,CE AND BM IK BASIN BARINIPUT JEYPORE,2026_IKBBJ_127056_2,SETCD-06/25-26 (II),Development to B.singhpur Podapadar Minor Service Road of TMIP,"SE,Telengiri Canal Division",Internal,Divisional Accountant and Estimator,B Ugandra Choudheri,24-Apr-2026 01:13 PM,finsummary_585444.pdf (740.93 KB),Finance,Bid Opening Summary,B Ugandra Choudheri,24-Apr-2026 12:44 PM,finance_585444.pdf,BOQ Comparative Chart,1.0,3438111.0,Nrusingh Charan Pattnaik,INR,"1,273,406",24-Apr-2026,"INR 1,273,406",30.0,B Ugandra Choudheri,24-Apr-2026 01:22 PM,WO2.pdf (375.00 KB),Work Order,1,3434724,AMAN TAKRI,20-Mar-2026 09:07 PM,Rejected-Finance,Disqualified in transparent lottery system,24-Apr-2026 01:13 PM,"SE,Telengiri Canal Division",Internal,Divisional Accountant and Estimator,B Ugandra Choudheri,24-Apr-2026 12:56 PM,techsummary_585444.pdf (175.70 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3438601,ANAND KUMAR HOTA,23-Mar-2026 01:23 PM,Rejected-Finance,Disqualified in transparent lottery system,24-Apr-2026 01:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3434702,DIPAK KUMAR SETHY,17-Mar-2026 07:57 PM,Rejected-Finance,Disqualified in transparent lottery system,24-Apr-2026 01:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3438607,gupteswar Swain,22-Mar-2026 07:57 PM,Rejected-Finance,Disqualified in transparent lottery system,24-Apr-2026 01:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3434934,KIRAN KUMAR PATNAIK,18-Mar-2026 12:40 PM,Rejected-Finance,Disqualified in transparent lottery system,24-Apr-2026 01:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3436775,LABANYA KUMAR MALICK,20-Mar-2026 11:57 AM,Rejected-Finance,Disqualified in transparent lottery system,24-Apr-2026 01:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3434175,MADHU MACHHA,19-Mar-2026 11:24 AM,Rejected-Finance,Disqualified in transparent lottery system,24-Apr-2026 01:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3438995,MANOJ KUMAR DAKUA,23-Mar-2026 01:35 PM,Rejected-Finance,Disqualified in transparent lottery system,24-Apr-2026 01:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3436932,NARENDRA BHARATI,20-Mar-2026 01:32 PM,Rejected-Finance,Disqualified in transparent lottery system,24-Apr-2026 01:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3437708,NARENDRA ROUT,21-Mar-2026 12:33 PM,Rejected-Finance,Disqualified in transparent lottery system,24-Apr-2026 01:13 PM,,,,,,,AOC
