Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-22/2025-26,2026_CERWI_126220_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Bamphakuda - Nagabali road for the year 2025-26,S/R to Bamphakuda - Nagabali road for the year 2025-26,Refer tender documents ,NA ,"19,41,593",Civil Works - Roads,NA ,Tender,90.0,30.0,"S.E, R.W.Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,"S.E, R.W.Division, Cuttack","At.-REO Colony, P.O.-Nayabazar, Dist.-Cuttack",1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD, PAN, Affidavit,correctness and No relation certificate and as per DTCN",20-Feb-2026 10:00 AM,27-Feb-2026 11:00 AM,20-Feb-2026 10:00 AM,26-Feb-2026 05:00 PM,20-Feb-2026 10:00 AM ,25-Feb-2026 05:00 PM ,20-Feb-2026 10:00 AM,26-Feb-2026 05:00 PM,"19,416",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,"S.E, R.W.Division, Cuttack",Internal,"DAO-I and A.E. Estimator of R.W.Division, Cuttack",Priyadarshini Balsamanta,10-Apr-2026 10:19 AM,techsummary_582109.pdf (1033.24 KB),"S.E, R.W.Division, Cuttack",Internal,"DAO-I and A.E. Estimator of R.W.Division, Cuttack",Priyadarshini Balsamanta,10-Apr-2026 10:24 AM,finsummary_582109.pdf (1033.24 KB),Finance,Tender open by technical committee held on dt.27.02.2026,Priyadarshini Balsamanta,31-Mar-2026 09:41 AM,,BOQ Comparative Chart,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2026_CERWI_126220_21,RWD CTC-22/2025-26,S/R to Bamphakuda - Nagabali road for the year 2025-26,1.0,3412820.0,SASHI KANTA SETHY,INR,"1,446,687",1,3411854,BRAJABANDHU MAJHI,26-Feb-2026 08:56 AM,Rejected-AOC,Not selected in lottery,10-Apr-2026 10:28 AM,14-Apr-2026,"INR 1,446,687",30.0,Priyadarshini Balsamanta,10-Apr-2026 10:28 AM,WO.pdf (863.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3412644,JHARANA DASH,26-Feb-2026 01:23 PM,Rejected-Finance,Rejected due to 2nd lowest,10-Apr-2026 10:24 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3412820,SASHI KANTA SETHY,26-Feb-2026 02:57 PM,Accepted-AOC,Selected through lottery,10-Apr-2026 10:28 AM,,,,,,,AOC
