Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
"Smt. Lika Sahu, Chairperson, Balangir Municipality",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Santosh Kumar Behera,06-Mar-2026 06:53 PM,techsummary_562589.pdf (437.79 KB),Finance,17 Nos. of bidders have participated,Sanjay Kumar Mohanty,03-Dec-2025 11:24 AM,,BOQ Comparative Chart,04-Apr-2026,"INR 1,438,313.44",90.0,Sanjay Kumar Mohanty,04-Apr-2026 08:12 AM,WO09202526113.pdf (860.00 KB),"The work is awarded to Sri Madhab Kumar Sethi, C Class Contractor.",1.0,3243099.0,MADHABA KUMAR SETHI,INR,"1,438,313.44","Smt. Lika Sahu, Chairperson, Balangir Municipality",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Sanjay Kumar Mohanty,07-Mar-2026 05:11 PM,finsummary_562589.pdf (1687.92 KB),Municipal Bodies||Balangir Municipality,2025_ORULB_120809_113,BLGR MPTY/09(01-114)/2025-26,"Improvement of road from panigrahi Babu res. To Sarangi babu res., Kharselpada,ward No-21",1,3227996,ALAKA DASH,15-Nov-2025 06:11 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN","Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",Municipal Bodies||Balangir Municipality,BLGR MPTY/09(01-114)/2025-26,2025_ORULB_120809_113,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Improvement of road from panigrahi Babu res. To Sarangi babu res., Kharselpada,ward No-21",Road Work,Please refer tender documents ,NA ,"16,91,934",Civil Works - Roads,NA ,Tender,180.0,90.0,Balangir,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,1.0,ICICI BANK,"16,919",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,07-Nov-2025 12:00 PM,24-Nov-2025 11:00 AM,07-Nov-2025 12:00 PM,21-Nov-2025 05:00 PM,NA ,NA ,07-Nov-2025 12:00 PM,21-Nov-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3233730,BASANTA TRIPATHY,17-Nov-2025 08:15 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3241306,GOURI MEHER,20-Nov-2025 01:47 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3244601,KAUSHIKA PANIGRAHI,21-Nov-2025 03:48 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3243209,KHIROD KUMAR NAG,21-Nov-2025 12:19 AM,Rejected-Finance,(ST/SC Bidders) Now declare as L1 due to Price preference Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3239766,KRUPA BHOI,19-Nov-2025 10:13 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3243099,MADHABA KUMAR SETHI,20-Nov-2025 10:45 PM,Accepted-AOC,L1,04-Apr-2026 08:12 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3240266,PREMPRAKASH MISHRA,20-Nov-2025 09:14 AM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3241646,RAMESH KUMAR BEHERA,20-Nov-2025 02:24 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3241197,RAM KUMAR JATI,20-Nov-2025 01:11 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3244164,RASHMI RANI MUND,21-Nov-2025 01:40 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3241966,SADANANDA BAG,20-Nov-2025 03:31 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3244021,SANTOSH KUMAR PANIGRAHI,21-Nov-2025 01:08 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3243045,SARJAN KUMAR ACHARYA,20-Nov-2025 10:47 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3243521,SATYANARAYAN PATTNAIK,21-Nov-2025 11:25 AM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3243525,SUJIT KUMAR KHUAS,21-Nov-2025 12:18 PM,Rejected-Finance,Lose in the transparent lottery system,07-Mar-2026 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
