Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD ,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC","46,610",Yes,percentage,1.0%,Nil,Nil,16-Jan-2026 06:00 PM,28-Jan-2026 11:00 AM,16-Jan-2026 06:00 PM,27-Jan-2026 05:00 PM,16-Jan-2026 06:00 PM ,27-Jan-2026 03:00 PM ,16-Jan-2026 06:00 PM,27-Jan-2026 05:00 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-24/2025-26,2026_CERWI_124668_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",S/R to Bhandaripokhari to Bayabanapur for the year 2025-26 in the District of Bhadrak,S/R to Bhandaripokhari to Bayabanapur for the year 2025-26 in the District of Bhadrak,Please refer Tender documents. ,NA ,"46,61,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC,Executive Engineer,Internal,,Lambodar Naik,15-Apr-2026 10:22 AM,finsummary_576124.pdf (413.17 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2026_CERWI_124668_6,SE/BDK-II/TCN-24/2025-26,S/R to Bhandaripokhari to Bayabanapur for the year 2025-26 in the District of Bhadrak,1.0,3367449.0,Rajesh Kumar Bharati,INR,"3,127,459.58",Finance,total 13,Lambodar Naik,29-Jan-2026 04:50 PM,,BOQ Comparative Chart,1,3361865,CHANDRAMANI PALLAR,20-Jan-2026 06:39 PM,Rejected-AOC,rejected,15-Apr-2026 10:36 AM,15-Apr-2026,"INR 3,127,459.58",30.0,Lambodar Naik,15-Apr-2026 10:36 AM,1657.pdf (630.00 KB),Executive Engineer,Internal,,Lambodar Naik,15-Apr-2026 10:13 AM,techsummary_576124.pdf (279.08 KB),AOC
,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3368166,Debabrata Sahoo,27-Jan-2026 01:56 PM,Rejected-AOC,rejected,15-Apr-2026 10:36 AM,,,,,,,,,,,,,AOC
,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3367565,DIBYARANJAN CHAND,27-Jan-2026 03:48 PM,Rejected-AOC,rejected,15-Apr-2026 10:36 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3359474,DURYODHAN PATRA,24-Jan-2026 04:13 PM,Rejected-AOC,rejected,15-Apr-2026 10:36 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3361820,Nirakar Majhi,20-Jan-2026 05:49 PM,Rejected-AOC,rejected,15-Apr-2026 10:36 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3368616,NIRANJAN DAS,27-Jan-2026 04:02 PM,Rejected-AOC,rejected,15-Apr-2026 10:36 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3367560,PRAKASH KUMAR MOHAPATRA,27-Jan-2026 11:49 AM,Rejected-AOC,rejected,15-Apr-2026 10:36 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3359475,PRATIK KUMAR DAS,21-Jan-2026 04:35 PM,Rejected-AOC,rejected,15-Apr-2026 10:36 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3367595,RAJENDRA SETHI,27-Jan-2026 12:02 PM,Rejected-AOC,rejected,15-Apr-2026 10:36 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3367449,Rajesh Kumar Bharati,27-Jan-2026 12:10 PM,Accepted-AOC,Accepted,15-Apr-2026 10:36 AM,,,,,,,,,,,,,AOC
